,B,F,AMF,P,BN,FN,OPN,HN
NPK5_1,0.565667507,0.572323369,1.400296861,0.505139271,0.451094505,0.509875132,0.320673412,1.779057549
NPK5_2,0.480119026,0.712625942,1.020313393,0.558515981,0.402671931,0.347642136,0.25535105,1.499807346
NPK5_3,0.345685699,0.601495191,1.139950406,0.722470443,0.481677183,0.594854321,0.403810963,1.39197806
NPK5_4,0.586618156,0.494531843,1.347275912,0.61369559,0.423060383,0.455797467,0.195967085,1.678266071
NPK5_5,0.707084384,0.429242527,1.410266612,0.480663563,0.379734922,0.448072086,0.308796619,1.429680607
NPK5_6,0.769936329,0.770969587,1.350674691,0.484979592,0.489322853,0.533051274,0.261289447,2.027391663
NPKM5_1,1.243071806,1.102972706,0.882322974,0.977334676,1.304860941,1.359667019,1.312385629,0.519792457
NPKM5_2,1.164506874,0.909883026,1.344556889,1.341410827,1.131559097,0.957947218,1.116418544,0.540151833
NPKM5_3,1.560823307,1.240497011,0.997428282,1.227336547,1.539328141,1.537350777,1.460845542,0.607765068
NPKM5_4,1.141810339,1.0946379,1.098485305,1.081028634,1.014325497,1.575977681,1.526167904,0.622343387
NPKM5_5,1.347825048,1.186320769,1.414118562,1.450131047,1.075490854,1.197434022,1.793395747,0.763099565
NPKM5_6,1.044040646,0.971004939,0.763139131,1.571635453,1.521488246,1.143356357,1.062972976,0.53814103
NPK7_1,0.392824658,0.802919678,0.515708035,0.418982594,0.489322853,0.517600513,0.290981429,0.697748482
NPK7_2,0.548208633,0.879322069,0.774468393,0.613750223,0.369540696,0.509875132,0.362242187,0.730172673
NPK7_3,0.394570545,0.755689108,0.817519591,0.48328596,0.537745427,0.68755889,0.326611808,0.818396635
NPK7_4,0.703592609,0.989063686,0.566689717,0.685866148,0.349152244,0.548502036,0.290981429,0.580116533
NPK7_5,0.326480938,0.679286717,0.551508505,0.729682035,0.481677183,0.417170563,0.320673412,0.86213159
NPK7_6,0.408537644,0.723739017,0.985645849,0.789177673,0.499517079,0.679833509,0.39193417,1.04410922
NPKM7_1,1.159269212,1.21827086,0.64146285,1.025903658,1.213112906,1.012024883,0.88482108,0.222445031
NPKM7_2,0.946270953,1.321066805,0.74886426,1.037595179,1.355832072,1.452371588,0.985773821,0.388084891
NPKM7_3,1.246563581,1.311342865,0.731870366,1.274812864,1.424643098,1.715034535,1.324262422,0.413973973
NPKM7_4,1.358300372,1.127977125,0.562158012,1.341410827,1.050005289,1.012024883,1.704319799,0.241547655
NPKM7_5,1.450832403,1.396080062,0.558532648,1.510664717,1.534231028,1.097004072,1.538044697,0.305390636
NPKM7_6,1.490987812,1.234940473,0.658456744,0.904672418,1.38641475,0.988848741,1.116418544,0.321979757
