Treatment,B,F,AMF,P,BN,FN,OPN,HN
NPK5_1,32.4,4.12,61.80,9246,177,66,54,70.78
NPK5_2,27.5,5.13,45.03,10223,158,45,43,59.67
NPK5_3,19.8,4.33,50.31,13224,189,77,68,55.38
NPK5_4,33.6,3.56,59.46,11233,166,59,33,66.77
NPK5_5,40.5,3.09,62.24,8798,149,58,52,56.88
NPK5_6,44.1,5.55,59.61,8877,192,69,44,80.66
NPKM5_1,71.2,7.94,38.94,17889,512,176,221,20.68
NPKM5_2,66.7,6.55,59.34,24553,444,124,188,21.49
NPKM5_3,89.4,8.93,44.02,22465,604,199,246,24.18
NPKM5_4,65.4,7.88,48.48,19787,398,204,257,24.76
NPKM5_5,77.2,8.54,62.41,26543,422,155,302,30.36
NPKM5_6,59.8,6.99,33.68,28767,597,148,179,21.41
NPK7_1,22.5,5.78,22.76,7669,192,67,49,27.76
NPK7_2,31.4,6.33,34.18,11234,145,66,61,29.05
NPK7_3,22.6,5.44,36.08,8846,211,89,55,32.56
NPK7_4,40.3,7.12,25.01,12554,137,71,49,23.08
NPK7_5,18.7,4.89,24.34,13356,189,54,54,34.30
NPK7_6,23.4,5.21,43.50,14445,196,88,66,41.54
NPKM7_1,66.4,8.77,28.31,18778,476,131,149,8.85
NPKM7_2,54.2,9.51,33.05,18992,532,188,166,15.44
NPKM7_3,71.4,9.44,32.30,23334,559,222,223,16.47
NPKM7_4,77.8,8.12,24.81,24553,412,131,287,9.61
NPKM7_5,83.1,10.05,24.65,27651,602,142,259,12.15
NPKM7_6,85.4,8.89,29.06,16559,544,128,188,12.81
