Treatment,B,F,AMF,P,BN,FN,OPN,HN
NPK5_1,1370,436,104,185,8,2,4,11
NPK5_2,844,686,128,164,7,3,5,9
NPK5_3,881,714,66,188,7,3,3,10
NPK5_4,954,513,79.9,197,5,4,3,11
NPK5_5,959,424,69,195,6,4,5,9
NPK5_6,957,563,67,203,7,3,5,9
NPKM5_1,1972,868,194,284,11,5,8,6
NPKM5_2,2055,588,160.8,290,10,6,8,7
NPKM5_3,2315,795,152,294,10,5,8,7
NPKM5_4,2253,1141,149.9,275,10,5,6,5
NPKM5_5,2376,908,160,264,11,6,6,6
NPKM5_6,2423,1091,117,303,11,5,10,6
NPK7_1,970,936,50.9,217,9,1,4,9
NPK7_2,937,912,110.9,224,6,3,5,10
NPK7_3,1067,1051,56,224,7,3,4,9
NPK7_4,1032,1030,145,226,5,3,2,12
NPK7_5,1083,1080,147,220,6,5,5,10
NPK7_6,1201,1012,130,221,7,3,5,8
NPKM7_1,2427,1218,105,276,11,5,8,8
NPKM7_2,2557,1343,144,314,10,6,9,6
NPKM7_3,2655,1312,99,313,10,5,8,6
NPKM7_4,2430,1302,102,247,11,6,7,6
NPKM7_5,2538,1233,103,298,11,6,7,7
NPKM7_6,2537,1434,131,267,11,4,7,5
