id,genus,group
A1,s__Glomus_Yamato12_Glo2,AMF
A11,s__Glomus_deserticola,AMF
A14,s__Septoglomus_viscosum,AMF
A20,s__Septoglomus_jasnowskae,AMF
A23,s__Glomus_sp.,AMF
A24,s__Glomus_Torrecillas12a_Glomus_G6,AMF
A7,s__Glomus_mosseae,AMF
A8,s__Glomus_Glo2,AMF
B100,Bryobacter,B
B106,Candidatus_Alysiosphaera,B
B114,Candidatus_Koribacter,B
B120,Candidatus_Ovatusbacter,B
B123,Candidatus_Protochlamydia,B
B124,Candidatus_Solibacter,B
B126,Candidatus_Udaeobacter,B
B129,Catellatospora,B
B132,Caulobacter,B
B140,Chitinophaga,B
B146,Chthoniobacter,B
B152,CL500-29_marine_group,B
B155,Clostridium_sensu_stricto_1,B
B163,Clostridium_sensu_stricto_6,B
B175,Corallococcus,B
B181,Cupriavidus,B
B184,Dactylosporangium,B
B19,Actinoallomurus,B
B196,Devosia,B
B201,Dokdonella,B
B203,Dongia,B
B207,Edaphobaculum,B
B209,Ellin516,B
B210,Ellin517,B
B211,Ellin6055,B
B212,Ellin6067,B
B225,Ferruginibacter,B
B23,Actinomadura,B
B233,Flavisolibacter,B
B235,Flavitalea,B
B236,Flavobacterium,B
B242,Ga0074140,B
B243,Gaiella,B
B244,Galbitalea,B
B247,Gemmatimonas,B
B25,Actinophytocola,B
B26,Actinoplanes,B
B261,Haliangium,B
B265,Hamadaea,B
B268,Herbidospora,B
B278,Hyphomicrobium,B
B280,Iamia,B
B281,Ilumatobacter,B
B284,Intrasporangium,B
B292,JGI_0001001-H03,B
B293,Kaistia,B
B295,Kibdelosporangium,B
B299,Kribbella,B
B305,Lachnospiraceae_UCG-007,B
B31,ADurb.Bin063-1,B
B311,Legionella,B
B314,Leptolyngbya_EcFYyyy-00,B
B317,Leucobacter,B
B319,Litorilinea,B
B32,Aeromicrobium,B
B323,Luedemannella,B
B325,Luteimonas,B
B326,Luteitalea,B
B329,Lysobacter,B
B33,Aetherobacter,B
B332,Marmoricola,B
