	NPK1	NPK2	NPK3	NPK4	NPK5	NPK6	NPKM1	NPKM2	NPKM3	NPKM4	NPKM5	NPKM6	genus	group
A1	0.00003335	0	0.0000167	0.000216891	0	0.000116804	0.00068404	0.001334713	0.002369115	0.000934299	0.000850862	0.002736143	s__Glomus_Yamato12_Glo2	AMF
A2	0.000550551	0.000517202	0.0000334	0.0000167	0.000216891	0	0	0	0.0000167	0	0	5.00515E-05	s__Glomus_cf._clarum	AMF
A3	0.042093513	0.323100538	0.0000167	0.000166822	0.068287246	0.000166839	0.000166839	0.000283627	0.00003335	0.000150155	0.00003335	0.000116788	s__Glomus_Glo7	AMF
A4	0	0.000150155	0	0.00106777	0	0.0000167	0.068987954	0.000133488	0.000316994	0	0.000233575	0.000250259	s__Glomus_Kawahara__amp_amp__Ezawa13_Glo13	AMF
A5	0.018051987	0.162718142	0.342587341	0.006473356	0.007107344	0.175564751	0.02540959	0.096366245	0.160866229	0.216790684	0.206830392	0.136491041	s__Glomus_An08_GLO1-1	AMF
A6	6.67515E-05	0.0000167	0	0.000150155	0.000700724	0.000183523	0.000100104	0.00005005	5.00515E-05	0.000884247	0.00010012	5.00515E-05	s__Glomus_Li2010b_Glo1	AMF
A7	0	0	0	0.001251293	0	0	0.054639795	0.000166839	0.000350378	0	0.000166839	0.000717408	s__Glomus_mosseae	AMF
A8	0	0.001301345	0.000133472	0.001284661	0.000250259	0.001267977	0.022456539	0.001284661	0.081250626	0.001084454	0.14520004	0.002185592	s__Glomus_Glo2	AMF
A9	0.056908806	0.034669158	0.052153893	0.000400414	0.0000167	0.000266943	0	0	0.000116788	0	0	0	s__unidentified	AMF
A10	0	0.00003335	0	0.0000167	8.34015E-05	0.0000167	0.00003335	0.002769511	0.00003335	0	0.000250241	0.00003335	s__Glomus_Wang11_Glo10	AMF
A11	0.00003335	0	0	0.0000167	0	0	0.000116788	0.000266943	0.000667373	0.000250259	0.000266943	0.000784144	s__Glomus_deserticola	AMF
A12	0.173479262	0.114351497	0.226417298	0.534318796	0.410557576	0.481347392	0.006423304	0.006640195	0.007340919	0.003603724	0.001418132	0.007190764	s__Glomus_An08_GLO5	AMF
A13	5.00515E-05	0.000550569	0	0.000150172	0.00003335	0.0000167	0.011895626	0.0000167	0.00003335	0.000116787	0.0000167	5.00515E-05	s__Glomus_fasciculatum	AMF
A14	0	0	0	0.00005005	0.00003335	0.0000167	0.000150155	0.000634005	0.000934299	0.000450466	0.000650655	0.001084454	s__Septoglomus_viscosum	AMF
A15	0.000166839	6.67355E-05	0.0000167	0.000100104	0.000150155	0.000100104	8.34355E-05	5.00515E-05	0.00003335	0.000116787	0	0.000116804	s__Glomus_XIng2012_Glomus_Ab7	AMF
A16	0.638509794	0.156795356	0.373586039	0.42278688	0.127398312	0.262087491	0.005055224	0.003053155	0.004237712	0.003753879	0.000900931	0.003570356	s__Glomus_Kawahara__amp_amp__Ezawa13_Glo3	AMF
A17	0.000884229	0.000667356	0.000567253	0.000800828	0.0014515	0.003119891	5.00515E-05	6.67355E-05	0.000200207	0	6.67355E-05	0.0000167	s__Glomus_Glo10	AMF
A18	0.00003335	0.002319079	0	0.000116804	0.081133839	8.34195E-05	0.000166839	0.000350362	0.000133472	0.000116788	0.000116788	0.000100104	s__Glomus_Guo12_UnGlom_Bb	AMF
A19	0.000867563	0	0	0.000133488	0.000133472	0.000183539	0.000283627	0.000100104	0.000533885	0.134555708	0.000100104	0.000133472	s__Rhizophagus_arabicus	AMF
A20	0.00115119	0	0	0.000667357	0.00153492	0.001334713	0.014765258	0.094831326	0.123477594	0.12888318	0.084820982	0.078848143	s__Septoglomus_jasnowskae	AMF
A21	0.000450466	0.003019788	0.001017719	0.000684041	0.0005005	0.061096466	0.000133471	8.34015E-05	0.000617287	0.00038373	0.00005005	0.000450466	s__Glomus_Gollotte04_sp._5	AMF
A22	0.001768494	0.001801844	0	0.00003335	0.001084454	6.67355E-05	5.00515E-05	0	0.0000167	0.00003335	0	0.00003335	s__Glomus_An08_GLO2	AMF
A23	0.064333145	0.196186059	0.002552638	0.028345958	0.297707632	0.012663085	0.787697288	0.790166506	0.615235744	0.507441023	0.556975542	0.627932197	s__Glomus_sp.	AMF
A24	0.0000167	0	0.000900931	0.000600621	0.000200207	0.000250259	0.000517184	0.000667357	0.000917597	0.00038373	0.000884229	0.13695819	s__Glomus_Torrecillas12a_Glomus_G6	AMF
HN1	3.296282713	4.443946667	2.4265152	4.133723301	2.509624786	5.083678118	0.974559086	0.970014934	1.466556737	1.319151909	0.303755637	1.7959552	Coslenchus	HN
HN2	7.529231583	7.702314667	16.6584384	19.41972229	8.887978125	18.29396078	3.071706515	4.383930819	6.37768327	6.744040595	5.526600146	5.583871508	Helicotylenchus	HN
HN3	14.93344612	8.864213334	8.125344	6.198452632	13.90292341	14.89627391	8.358482745	10.09045242	8.536338406	4.748293852	10.77930909	8.168317046	Pratylenchus	HN
HN4	6.051145461	5.460608	2.2150656	1.232281959	2.731120408	1.613186845	0.295342629	0	0.362658636	1.3618176	1.002028509	0.833453785	Paratylenchus	HN
HN5	2.185874922	2.806869334	2.3124096	1.912293326	3.818735011	1.613186845	0	0	0	0	0	0	Tylenchus	HN
HN6	2.879879792	3.855104	1.8727488	4.723036733	0.34300416	2.016483556	0	0.5402592	0.658879526	0	0	0	Malenchus	HN
HN7	2.602277844	4.008234667	0.6511104	1.129236409	2.965528902	2.077153883	0.0885312	0	0	0	0	0	Basiria	HN
