	NPK1	NPK2	NPK3	NPK4	NPK5	NPK6	NPKM1	NPKM2	NPKM3	NPKM4	NPKM5	NPKM6
A1	0.001409988	0	0.000721344	0.009160325	0	0.006022084	0.023003397	0.061659998	0.090399446	0.034237788	0.037037822	0.085840467
A2	0.023276466	0.020482877	0.001442688	0.000705321	0.009388867	0	0	0	0.00063723	0	0	1.57E-03
A3	1.779650192	12.79584172	0.000721344	0.007045671	2.956046514	0.008601784	0.005610584	0.013102749	0.001272552	0.005502497	0.001451718	0.003663951
A4	0	0.005946631	0	0.045097042	0	0.000861009	2.319977377	0.006166748	0.012095691	0	0.010167449	0.00785131
A5	0.763210771	6.444172472	14.79779981	0.273400834	0.307665643	9.051661379	0.854492261	4.451850326	6.13824907	7.944391985	9.00328332	4.282106131
A6	2.82E-03	0.000661375	0	0.006341765	0.03033323	0.009461968	0.003366354	0.00231217	1.91E-03	0.032403628	0.004358181	1.57E-03
A7	0	0	0	0.052848098	0	0	1.837466975	0.007707494	0.01336954	0	0.007262466	0.022507098
A8	0	0.051537533	0.0057652	0.054257388	0.010833293	0.065373592	0.755184902	0.059347736	3.1003187	0.039740304	6.320527117	0.068568125
A9	2.406018425	1.373012443	2.25274775	0.016911401	0.000722916	0.01376286	0	0	0.004456316	0	0	0
A10	0	0.001320769	0	0.000705321	3.61E-03	0.000861009	0.001121518	0.12794362	0.001272552	0	0.010892938	0.001046283
A11	0.001409988	0	0	0.000705321	0	0	0.003927415	0.012331995	0.025465249	0.009170835	0.011619951	0.024600777
A12	7.334441429	4.528694569	9.779923088	22.5668424	17.77238595	24.81701814	0.216007565	0.306758368	0.280110932	0.132060085	0.061730987	0.225594401
A13	2.12E-03	0.021804339	0	0.006342462	0.001443669	0.000861009	0.400034795	0.000771493	0.001272552	0.004279712	0.000726947	1.57E-03
A14	0	0	0	0.002113851	0.001443669	0.000861009	0.005049522	0.02928923	0.035650491	0.016507511	0.028322853	0.034022358
A15	0.007053701	2.64E-03	0.000721344	0.00422785	0.006499972	0.005161076	2.81E-03	2.31E-03	0.001272552	0.004279712	0	0.003664453
A16	26.9952306	6.209610688	16.13676503	17.8563153	5.514870735	13.51254855	0.17000077	0.141047201	0.161700389	0.137562582	0.039217336	0.112012065
A17	0.037383868	0.026429488	0.024502062	0.033822782	0.062833132	0.160853456	1.68E-03	3.08E-03	0.007639394	0	2.90E-03	0.000523926
A18	0.001409988	0.09184314	0	0.004933171	3.512155117	4.30E-03	0.005610584	0.016185742	0.005092935	0.00427973	0.005083735	0.003140527
A19	0.036679255	0	0	0.005637817	0.005777769	0.009462793	0.009537999	0.004624501	0.020371703	4.930854336	0.004357484	0.004187375
A20	0.048670555	0	0	0.028185662	0.066444229	0.068814301	0.496536879	4.380941349	4.71159317	4.722982	3.692239457	2.473687021
A21	0.019045002	0.119593496	0.043959577	0.028890307	0.021665829	3.149974697	0.00448846	3.85E-03	0.023554094	0.014061958	0.002178666	0.014132364
A22	0.074769258	0.071358936	0	0.00140853	0.046944293	3.44E-03	1.68E-03	0	0.00063723	0.001222126	0	0.001046283
A23	2.719908275	7.769611809	0.110259237	1.197185576	12.88729093	0.652875689	26.48926053	36.50347708	23.47584243	18.59540418	24.24502785	19.69999121
A24	0.000706051	0	0.03891503	0.025367081	0.008666643	0.012902677	0.017392225	0.030829999	0.035013184	0.014061958	0.038490302	4.296761903
HN1	3.296282713	4.443946667	2.4265152	4.133723301	2.509624786	5.083678118	0.974559086	0.970014934	1.466556737	1.319151909	0.303755637	1.7959552
HN2	7.529231583	7.702314667	16.6584384	19.41972229	8.887978125	18.29396078	3.071706515	4.383930819	6.37768327	6.744040595	5.526600146	5.583871508
HN3	14.93344612	8.864213334	8.125344	6.198452632	13.90292341	14.89627391	8.358482745	10.09045242	8.536338406	4.748293852	10.77930909	8.168317046
HN4	6.051145461	5.460608	2.2150656	1.232281959	2.731120408	1.613186845	0.295342629	0	0.362658636	1.3618176	1.002028509	0.833453785
HN5	2.185874922	2.806869334	2.3124096	1.912293326	3.818735011	1.613186845	0	0	0	0	0	0
HN6	2.879879792	3.855104	1.8727488	4.723036733	0.34300416	2.016483556	0	0.5402592	0.658879526	0	0	0
HN7	2.602277844	4.008234667	0.6511104	1.129236409	2.965528902	2.077153883	0.0885312	0	0	0	0	0
HN8	5.697251061	1.790208	2.96352	2.130732039	2.108018502	5.291393506	0.812013257	0.493338362	1.664495491	2.385337783	1.791647128	0.4282112
HN9	2.324675896	1.597610667	0.5537664	1.116888795	1.706412218	4.863828664	0	0.537194667	0.604431059	0	0.6072192	0
HN10	1.0616832	2.814762667	0	0	5.245049484	1.613186845	0.2655936	0.694618972	0	0.288171155	0	0.1070528
HN11	0	0	4.3311744	1.450720671	0	2.700300047	0.72384	0.6446336	0.241772424	0	0.759024	0.192110769
HN12	0.7077888	1.016661334	0.5537664	1.013843245	0	1.038576941	0	0	0.411799704	0.33619968	0.182253382	0
HN13	0	0	1.3022208	0.461572655	1.37201664	0	0.1770624	0.107438934	0	0	0.303755637	0
