source	target	weight	correlation
A1	HN4	0.83712913	-0.83712913
A1	HN5	0.927240495	-0.927240495
A1	HN7	0.918876771	-0.918876771
A7	HN4	0.802451111	-0.802451111
A8	HN4	0.755244755	-0.755244755
A11	HN2	0.740330731	-0.740330731
A11	HN4	0.747449296	-0.747449296
A11	HN5	0.86245105	-0.86245105
A11	HN7	0.867306304	-0.867306304
A14	HN4	0.845091378	-0.845091378
A14	HN5	0.838191878	-0.838191878
A14	HN7	0.861681225	-0.861681225
A20	HN5	0.852463036	-0.852463036
A20	HN7	0.824446747	-0.824446747
A23	HN1	0.832167832	-0.832167832
A23	HN2	0.93006993	-0.93006993
A23	HN4	0.762237762	-0.762237762
A23	HN8	0.783216783	-0.783216783
A23	HN12	0.758127143	-0.758127143
A24	HN7	0.761369473	-0.761369473
A24	HN10	0.815075661	-0.815075661
