	A1	A7	A8	A11	A14	A20	A23	A24	HN1	HN2	HN4	HN5	HN7	HN8	HN10	HN12
A1	0	0	0	0	0	0	0	0	0	0	-0.83712913	-0.927240495	-0.918876771	0	0	0
A7	0	0	0	0	0	0	0	0	0	0	-0.802451111	0	0	0	0	0
A8	0	0	0	0	0	0	0	0	0	0	-0.755244755	0	0	0	0	0
A11	0	0	0	0	0	0	0	0	0	-0.740330731	-0.747449296	-0.86245105	-0.867306304	0	0	0
A14	0	0	0	0	0	0	0	0	0	0	-0.845091378	-0.838191878	-0.861681225	0	0	0
A20	0	0	0	0	0	0	0	0	0	0	0	-0.852463036	-0.824446747	0	0	0
A23	0	0	0	0	0	0	0	0	-0.832167832	-0.93006993	-0.762237762	0	0	-0.783216783	0	-0.758127143
A24	0	0	0	0	0	0	0	0	0	0	0	0	-0.761369473	0	-0.815075661	0
HN1	0	0	0	0	0	0	-0.832167832	0	0	0	0	0	0	0	0	0
HN2	0	0	0	-0.740330731	0	0	-0.93006993	0	0	0	0	0	0	0	0	0
HN4	-0.83712913	-0.802451111	-0.755244755	-0.747449296	-0.845091378	0	-0.762237762	0	0	0	0	0	0	0	0	0
HN5	-0.927240495	0	0	-0.86245105	-0.838191878	-0.852463036	0	0	0	0	0	0	0	0	0	0
HN7	-0.918876771	0	0	-0.867306304	-0.861681225	-0.824446747	0	-0.761369473	0	0	0	0	0	0	0	0
HN8	0	0	0	0	0	0	-0.783216783	0	0	0	0	0	0	0	0	0
HN10	0	0	0	0	0	0	0	-0.815075661	0	0	0	0	0	0	0	0
HN12	0	0	0	0	0	0	-0.758127143	0	0	0	0	0	0	0	0	0
