	NPK1	NPK2	NPK3	NPK4	NPK5	NPK6	NPKM1	NPKM2	NPKM3	NPKM4	NPKM5	NPKM6
HN1	3.296282713	4.443946667	2.4265152	4.133723301	2.509624786	5.083678118	0.974559086	0.970014934	1.466556737	1.319151909	0.303755637	1.7959552
HN2	7.529231583	7.702314667	16.6584384	19.41972229	8.887978125	18.29396078	3.071706515	4.383930819	6.37768327	6.744040595	5.526600146	5.583871508
HN3	14.93344612	8.864213334	8.125344	6.198452632	13.90292341	14.89627391	8.358482745	10.09045242	8.536338406	4.748293852	10.77930909	8.168317046
HN4	6.051145461	5.460608	2.2150656	1.232281959	2.731120408	1.613186845	0.295342629	0	0.362658636	1.3618176	1.002028509	0.833453785
HN5	2.185874922	2.806869334	2.3124096	1.912293326	3.818735011	1.613186845	0	0	0	0	0	0
HN6	2.879879792	3.855104	1.8727488	4.723036733	0.34300416	2.016483556	0	0.5402592	0.658879526	0	0	0
HN7	2.602277844	4.008234667	0.6511104	1.129236409	2.965528902	2.077153883	0.0885312	0	0	0	0	0
HN8	5.697251061	1.790208	2.96352	2.130732039	2.108018502	5.291393506	0.812013257	0.493338362	1.664495491	2.385337783	1.791647128	0.4282112
HN9	2.324675896	1.597610667	0.5537664	1.116888795	1.706412218	4.863828664	0	0.537194667	0.604431059	0	0.6072192	0
HN10	1.0616832	2.814762667	0	0	5.245049484	1.613186845	0.2655936	0.694618972	0	0.288171155	0	0.1070528
HN11	0	0	4.3311744	1.450720671	0	2.700300047	0.72384	0.6446336	0.241772424	0	0.759024	0.192110769
HN12	0.7077888	1.016661334	0.5537664	1.013843245	0	1.038576941	0	0	0.411799704	0.33619968	0.182253382	0
HN13	0	0	1.3022208	0.461572655	1.37201664	0	0.1770624	0.107438934	0	0	0.303755637	0
B2	0.310876067	0.709222866	0.425545438	0.869638111	0.638854476	0.801353824	0.00179224	0	0.014652418	0.009320494	0.002087908	0.034022393
B3	0.676066132	1.51965375	0.828461338	1.704644631	1.199875042	1.518354602	0.02865919	0.055083309	0.163270009	0.039146083	0.085554515	0.147430345
B4	0.005002612	0.001533462	0.001103884	0.009619896	0.003853609	0.000879188	0.032241606	0.012590466	0.018838846	0.01304978	0.020866972	0.024572813
B7	0.002143969	0.015334541	0.014350428	0.035593602	0.009247602	0.036025779	0	0	0	0	0	0
B9	0.796128617	0.673186668	0.626451446	0.724377758	0.607258519	0.931398075	0.404811254	0.576014056	0.680291575	0.387732365	0.607228583	0.326992977
B10	0.195816195	0.131877115	0.15675085	0.161614164	0.173392345	0.165191366	0.103889617	0.149511862	0.2700234	0.136079129	0.158588878	0.137979712
B11	0.010005621	0.00460037	0.004967457	0.01058187	0.003853165	0.004393389	0	0.001574723	0.01046603	0.00186518	0	0.00378246
B12	0.08647358	0.025302012	0.030908614	0.03751757	0.085540226	0.043933877	0.026868017	0.018885729	0.018838846	0.009320494	0.014606857	0.043473062
B14	0.036447547	0.027602189	0.019869827	0.012505857	0.02234834	0.015816195	0.00179224	0	0	0.00186518	0	0
B16	2.617790936	1.100253841	1.043165843	1.542068473	0.832283254	1.421700086	0.531986471	0.757002081	1.249643331	0.643113778	1.210283795	0.901593337
B18	0.001429322	0.000767173	0.001655815	0.004810502	0.013871833	0	0.00716583	0	0.012559244	0	0.002087908	0.013230914
B19	0.002144394	0.003833639	0.001656144	0.003848509	0.003082529	0.001757363	0.041197612	0.036197611	0.129778705	0.082020306	0.081381144	0.045363203
B23	0.040735484	0.02376855	0.024837284	0.035593602	0.014642025	0.036904444	0.080604016	0.070821407	0.286769032	0.121166353	0.152328842	0.066154645
B25	0.002858629	0	0.00055226	0	0	0	0.048362375	0.067673775	0.083728198	0.070835706	0.079294439	0.051033589
B26	0.025727677	0.012267648	0.026493099	0.009619896	0.006936138	0.014058849	0.068065629	0.169971345	0.140244735	0.087612588	0.133548575	0.051033589
B28	0.989086182	0.678553769	0.407883368	0.750351483	0.675074191	0.656372042	0.003582416	0.003147632	0.008374022	0.016776882	0.010434688	0.003780282
B31	0.002858643	0.007667278	0.011590729	0.011543864	0.00154216	0.017573541	0.193449604	0.214038005	0.249091381	0.128622741	0.285877377	0.232486327
B32	0	0	0	0	0	0	0.021494393	0.007869049	0.046050507	0.055922965	0.031300459	0.064264504
B33	0	0	0	0	0.00077108	0.000879188	0.012538387	0.014165188	0.016745632	0.01304867	0.016693562	0.009450669
B37	0.009290549	0.006133831	0.001656144	0.01058187	0.004623801	0.004393896	0.933215309	0.476864087	0.632147894	0.816474884	0.638529041	0.538687862
B38	0	0.000767173	0.00055226	0	0	0.000879188	0.01432963	0.012590496	0.041864079	0.031689659	0.025040383	0.032132252
B43	0.00714658	0	0.00055226	0	0.00077108	0.002636027	0.012538387	0.034623795	0.033491263	0.026097377	0.037560534	0.030242147
B45	0	0.000767173	0	0.001925095	0.003082544	0.00263655	0.007164832	0.009442864	0.018838846	0.013048706	0.020868175	0.024571724
B48	0	0	0	0.001925095	0	0	0.107471998	0.03305001	0.056516537	0.0801562	0.041733945	0.060484222
B53	0.008575888	0.000767173	0.001103884	0.001923987	0.003082529	0.001758375	0.028659225	0.088133289	0.138151521	0.048466577	0.154415547	0.090726369
B56	0.00714658	0	0.001656144	0.000962548	0.003082529	0.003514708	0.026867982	0.028328563	0.039770905	0.014912776	0.037560534	0.020791442
B63	0.015007821	0.001533462	0.038083828	0.004810502	0.023118976	0.050084612	0.107471998	0.025180931	0.043957293	0.07829213	0.068860993	0.056703976
B64	0.022154387	0.062871642	0.038083839	0.1231346	0.077833896	0.110713365	0.060900797	0.061378542	0.098380656	0.126758635	0.133548575	0.139869817
B65	0	0	0.001655815	0	0.005394422	0.001758375	0.03403278	0.053509494	0.255370982	0.093204906	0.077207774	0.096396792
B67	0	0	0	0	0	0	0.032241606	0.018885698	0.033491263	0.046602435	0.027127048	0.02835197
B68	0	0	0	0	0	0	0.037615196	0.029902348	0.008374022	0.024233271	0.018780267	0.005671512
B70	0.005717259	0.002300634	0	0.002886534	0.00077108	0	0.062692005	0.086559504	0.196761272	0.076428024	0.127288459	0.136089571
B72	0	0	0	0	0	0	0.008956006	0.009442864	0.02093206	0.014912776	0.029213713	0.017011196
B79	0.063604532	0.063638387	0.054090083	0.097160893	0.067045051	0.054478001	0.229273626	0.327352255	0.458411856	0.361634989	0.398558939	0.336443646
