label	genus	group
HN1	Coslenchus	HN
HN2	Helicotylenchus	HN
HN3	Pratylenchus	HN
HN4	Paratylenchus	HN
HN5	Tylenchus	HN
HN6	Malenchus	HN
HN7	Basiria	HN
HN8	Boleodorus	HN
HN9	Aglenchus	HN
HN10	Rotylenchus	HN
HN12	Nagelus	HN
B4	1??-59	B
B19	Actinoallomurus	B
B23	Actinomadura	B
B25	Actinophytocola	B
B26	Actinoplanes	B
B31	ADurb.Bin063-1	B
B32	Aeromicrobium	B
B33	Aetherobacter	B
B37	agricultural_soil_bacterium_SC-I-84	B
B38	Agromyces	B
B43	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	B
B45	alphaI_cluster	B
B48	Altererythrobacter	B
B53	Amycolatopsis	B
B56	Anaeromyxobacter	B
B63	Aquicella	B
B65	Archangium	B
B67	Arenimonas	B
B68	Aridibacter	B
B70	Asanoa	B
B72	Aurantisolimonas	B
B79	Bacillus	B
B80	bacterium_Ellin6557	B
B84	Bauldia	B
B86	Bdellovibrio	B
B87	beta_proteobacterium_WF17	B
B97	Bradyrhizobium	B
B99	Brevundimonas	B
B100	Bryobacter	B
B106	Candidatus_Alysiosphaera	B
B114	Candidatus_Koribacter	B
B120	Candidatus_Ovatusbacter	B
B123	Candidatus_Protochlamydia	B
B124	Candidatus_Solibacter	B
B126	Candidatus_Udaeobacter	B
B129	Catellatospora	B
B132	Caulobacter	B
B140	Chitinophaga	B
B146	Chthoniobacter	B
B152	CL500-29_marine_group	B
B155	Clostridium_sensu_stricto_1	B
B163	Clostridium_sensu_stricto_6	B
B175	Corallococcus	B
B181	Cupriavidus	B
B184	Dactylosporangium	B
B196	Devosia	B
B201	Dokdonella	B
B203	Dongia	B
B207	Edaphobaculum	B
B209	Ellin516	B
B210	Ellin517	B
B211	Ellin6055	B
B212	Ellin6067	B
B225	Ferruginibacter	B
B233	Flavisolibacter	B
B235	Flavitalea	B
B236	Flavobacterium	B
B242	Ga0074140	B
B243	Gaiella	B
B244	Galbitalea	B
B247	Gemmatimonas	B
B261	Haliangium	B
B265	Hamadaea	B
B268	Herbidospora	B
B278	Hyphomicrobium	B
B280	Iamia	B
B281	Ilumatobacter	B
B284	Intrasporangium	B
B292	JGI_0001001-H03	B
B293	Kaistia	B
B295	Kibdelosporangium	B
B299	Kribbella	B
B305	Lachnospiraceae_UCG-007	B
B311	Legionella	B
B314	Leptolyngbya_EcFYyyy-00	B
B317	Leucobacter	B
B319	Litorilinea	B
B323	Luedemannella	B
B325	Luteimonas	B
B326	Luteitalea	B
B329	Lysobacter	B
B332	Marmoricola	B
B333	Massilia	B
B336	Mesorhizobium	B
B337	metagenome	B
B339	Methylobacillus	B
B349	Micromonospora	B
B351	Microvirga	B
B353	Mizugakiibacter	B
B354	mle1-7	B
B357	MND1	B
B360	Mucilaginibacter	B
B362	Mycobacterium	B
B365	Nannocystis	B
