	NPK1	NPK2	NPK3	NPK4	NPK5	NPK6	NPKM1	NPKM2	NPKM3	NPKM4	NPKM5	NPKM6	genus	group
HN1	3.296282713	4.443946667	2.4265152	4.133723301	2.509624786	5.083678118	0.974559086	0.970014934	1.466556737	1.319151909	0.303755637	1.7959552	Coslenchus	HN
HN2	7.529231583	7.702314667	16.6584384	19.41972229	8.887978125	18.29396078	3.071706515	4.383930819	6.37768327	6.744040595	5.526600146	5.583871508	Helicotylenchus	HN
HN3	14.93344612	8.864213334	8.125344	6.198452632	13.90292341	14.89627391	8.358482745	10.09045242	8.536338406	4.748293852	10.77930909	8.168317046	Pratylenchus	HN
HN4	6.051145461	5.460608	2.2150656	1.232281959	2.731120408	1.613186845	0.295342629	0	0.362658636	1.3618176	1.002028509	0.833453785	Paratylenchus	HN
HN5	2.185874922	2.806869334	2.3124096	1.912293326	3.818735011	1.613186845	0	0	0	0	0	0	Tylenchus	HN
HN6	2.879879792	3.855104	1.8727488	4.723036733	0.34300416	2.016483556	0	0.5402592	0.658879526	0	0	0	Malenchus	HN
HN7	2.602277844	4.008234667	0.6511104	1.129236409	2.965528902	2.077153883	0.0885312	0	0	0	0	0	Basiria	HN
HN8	5.697251061	1.790208	2.96352	2.130732039	2.108018502	5.291393506	0.812013257	0.493338362	1.664495491	2.385337783	1.791647128	0.4282112	Boleodorus	HN
HN9	2.324675896	1.597610667	0.5537664	1.116888795	1.706412218	4.863828664	0	0.537194667	0.604431059	0	0.6072192	0	Aglenchus	HN
HN10	1.0616832	2.814762667	0	0	5.245049484	1.613186845	0.2655936	0.694618972	0	0.288171155	0	0.1070528	Rotylenchus	HN
HN11	0	0	4.3311744	1.450720671	0	2.700300047	0.72384	0.6446336	0.241772424	0	0.759024	0.192110769	Macroposthonia	HN
HN12	0.7077888	1.016661334	0.5537664	1.013843245	0	1.038576941	0	0	0.411799704	0.33619968	0.182253382	0	Nagelus	HN
HN13	0	0	1.3022208	0.461572655	1.37201664	0	0.1770624	0.107438934	0	0	0.303755637	0	Hirschmanniella	HN
B2	0.310876067	0.709222866	0.425545438	0.869638111	0.638854476	0.801353824	0.00179224	0	0.014652418	0.009320494	0.002087908	0.034022393	2??-21	B
B3	0.676066132	1.51965375	0.828461338	1.704644631	1.199875042	1.518354602	0.02865919	0.055083309	0.163270009	0.039146083	0.085554515	0.147430345	3??-21	B
B4	0.005002612	0.001533462	0.001103884	0.009619896	0.003853609	0.000879188	0.032241606	0.012590466	0.018838846	0.01304978	0.020866972	0.024572813	1??-59	B
B7	0.002143969	0.015334541	0.014350428	0.035593602	0.009247602	0.036025779	0	0	0	0	0	0	Acetomicrobium	B
B9	0.796128617	0.673186668	0.626451446	0.724377758	0.607258519	0.931398075	0.404811254	0.576014056	0.680291575	0.387732365	0.607228583	0.326992977	Acidibacter	B
B10	0.195816195	0.131877115	0.15675085	0.161614164	0.173392345	0.165191366	0.103889617	0.149511862	0.2700234	0.136079129	0.158588878	0.137979712	Acidicaldus	B
B11	0.010005621	0.00460037	0.004967457	0.01058187	0.003853165	0.004393389	0	0.001574723	0.01046603	0.00186518	0	0.00378246	Acidiphilium	B
B12	0.08647358	0.025302012	0.030908614	0.03751757	0.085540226	0.043933877	0.026868017	0.018885729	0.018838846	0.009320494	0.014606857	0.043473062	Acidipila	B
B14	0.036447547	0.027602189	0.019869827	0.012505857	0.02234834	0.015816195	0.00179224	0	0	0.00186518	0	0	Acidisphaera	B
B16	2.617790936	1.100253841	1.043165843	1.542068473	0.832283254	1.421700086	0.531986471	0.757002081	1.249643331	0.643113778	1.210283795	0.901593337	Acidothermus	B
B18	0.001429322	0.000767173	0.001655815	0.004810502	0.013871833	0	0.00716583	0	0.012559244	0	0.002087908	0.013230914	Acinetobacter	B
B19	0.002144394	0.003833639	0.001656144	0.003848509	0.003082529	0.001757363	0.041197612	0.036197611	0.129778705	0.082020306	0.081381144	0.045363203	Actinoallomurus	B
B23	0.040735484	0.02376855	0.024837284	0.035593602	0.014642025	0.036904444	0.080604016	0.070821407	0.286769032	0.121166353	0.152328842	0.066154645	Actinomadura	B
B25	0.002858629	0	0.00055226	0	0	0	0.048362375	0.067673775	0.083728198	0.070835706	0.079294439	0.051033589	Actinophytocola	B
B26	0.025727677	0.012267648	0.026493099	0.009619896	0.006936138	0.014058849	0.068065629	0.169971345	0.140244735	0.087612588	0.133548575	0.051033589	Actinoplanes	B
