	HN1	HN2	HN3	HN4	HN5	HN6	HN7	HN8	HN9	HN10	HN12	B4	B19	B23	B25	B26	B31	B32	B33	B37	B38	B43	B45	B48	B53	B56	B63	B65	B67	B68	B70	B72	B79	B80	B84	B86	B87	B97	B99	B100	B106	B114	B120	B123	B124	B126	B129	B132	B140	B146	B152	B155	B163	B175	B181	B184	B196	B201	B203	B207	B209	B210	B211	B212	B225	B233	B235	B236	B242	B243	B244	B247	B261	B265	B268	B278	B280	B281	B284	B292	B293	B295	B299	B305	B311	B314	B317	B319	B323	B325	B326	B329	B332	B333	B336	B337	B339	B349	B351	B353	B354	B357	B360	B362	B365	B366	B369	B370	B371	B372	B373	B376	B378	B379	B384	B386	B392	B393	B394	B397	B399	B400	B401	B404	B411	B418	B422	B423	B424	B429	B437	B441	B447	B449	B452	B453	B455	B456	B460	B465	B466	B467	B468	B473	B475	B478	B479	B484	B489	B493	B496	B504	B510	B515	B519	B520	B523	B526	B532	B533	B541	B543	B546	B549	B552	B553	B556	B558	B560	B563	B564	B575	B580	B581	B587	B590	B591	B592	B594	B598	B600	B601	B602	B603	B609	B613	B614	B617	B620	B621	B622	B627	B629	B637	B638	B639	B640	B642	B652	B654	B656	B661	B663	B667
HN1	0	0	0	0	0	0	0	0	0	0	0	-0.755244755	-0.671328671	-0.741258741	-0.836431355	-0.839160839	-0.727272727	-0.705410511	-0.779482837	-0.741258741	0	-0.8231186	-0.67250541	-0.717862646	-0.797202797	-0.804195804	-0.629370629	-0.697200387	-0.735269157	-0.884562387	-0.697023836	-0.802451111	-0.72027972	-0.697200387	-0.633818534	-0.881118881	-0.69794585	-0.72027972	0	-0.734265734	-0.790374024	-0.776223776	0	-0.70336037	-0.762237762	-0.816921666	-0.755244755	-0.676073103	-0.754567861	-0.683013307	-0.877097726	-0.851139659	-0.787521788	-0.742733819	-0.717862646	-0.711034365	-0.755244755	-0.892027049	-0.683013307	-0.783216783	-0.678321678	-0.772592465	-0.72027972	-0.728547527	-0.70336037	-0.71803963	-0.727804496	-0.76880499	-0.783122887	-0.706293706	-0.854703741	-0.86013986	-0.748251748	-0.891889954	0	-0.819378576	-0.839774418	-0.84723908	-0.637479086	-0.824845095	-0.794986449	-0.704029101	-0.726093602	-0.735269157	-0.776223776	-0.720339834	-0.854703741	-0.712875173	-0.854227767	-0.739616059	-0.848383127	-0.774081748	-0.661997513	-0.881118881	-0.753065953	-0.727272727	-0.819378576	-0.685314685	-0.747449296	-0.726093602	-0.774667097	-0.781709525	-0.7253701	0	-0.712875173	-0.787521788	-0.781709525	-0.824845095	0	-0.685314685	0	-0.692307692	-0.870136541	-0.615755849	-0.710611508	-0.783216783	-0.725113784	-0.817380434	-0.804195804	0	-0.727272727	-0.676263649	0	-0.671328671	-0.811516378	-0.669030674	-0.781087012	-0.859176235	-0.862168403	-0.826629714	-0.727804496	-0.855634265	0	-0.74646615	-0.72027972	0	-0.697619343	-0.754567861	-0.678321678	-0.798600174	-0.755244755	-0.804195804	-0.833880851	-0.706293706	-0.690157959	-0.741258741	-0.664335664	-0.82931279	0	-0.790160684	-0.8231186	-0.84723908	-0.761369473	-0.664335664	-0.718975037	-0.839774418	-0.713286713	-0.884562387	-0.608391608	-0.848383127	-0.826629714	-0.84354992	-0.86013986	-0.884562387	-0.809915772	-0.807957096	-0.914421033	-0.765127803	-0.739454956	-0.855634265	-0.887345947	-0.787521788	0	-0.8048763	-0.65034965	-0.685314685	0	-0.767624669	0	-0.727272727	-0.70336037	-0.809108071	-0.832167832	-0.935396781	-0.886261308	-0.740330731	-0.783122887	-0.683016527	-0.797202797	-0.899141092	-0.75019848	-0.694060061	-0.671328671	-0.798600174	0	-0.664335664	-0.742733819	-0.643356643	-0.783122887	-0.699300699	-0.921885695	-0.70336037	-0.847109202	-0.781709525
HN2	0	0	0	0	0	0	0	0	0	0	0	-0.811188811	-0.643356643	-0.706293706	-0.747449296	-0.783216783	-0.678321678	-0.705410511	-0.715415755	-0.769230769	-0.64790339	-0.805605439	-0.647986983	-0.717862646	-0.748251748	-0.811188811	0	-0.633818534	-0.720339834	-0.884562387	-0.753065953	-0.742733819	-0.65034965	-0.676073103	-0.711285243	-0.902097902	-0.757663142	-0.664335664	0	-0.748251748	-0.775871749	-0.734265734	0	-0.754118335	-0.706293706	-0.774667097	-0.692307692	-0.746497384	-0.82931279	-0.770579115	-0.757663142	-0.654992248	-0.757663142	-0.712875173	-0.674355819	-0.760071218	-0.748251748	-0.832309757	-0.798600174	-0.797202797	-0.65034965	-0.772592465	-0.811188811	-0.770579115	-0.688858095	-0.728547527	-0.727804496	-0.726093602	-0.696109232	-0.657342657	-0.780057126	-0.86013986	-0.797202797	-0.891889954	0	-0.725113784	-0.75019848	-0.787521788	-0.61296066	-0.854703741	-0.839774418	-0.756568586	-0.729652884	-0.720339834	-0.664335664	-0.735269157	-0.824845095	-0.627031566	-0.807957096	-0.783122887	-0.826629714	-0.770579115	0	-0.783216783	-0.707531733	-0.727272727	-0.812127438	-0.706293706	-0.793719967	-0.715415755	-0.7253701	-0.831006522	-0.76058224	0	-0.742733819	-0.757663142	-0.802836809	-0.809915772	0	-0.699300699	-0.65034965	0	-0.826629714	0	-0.790374024	-0.671328671	-0.688858095	-0.817380434	-0.79020979	0	-0.741258741	-0.64778939	0	-0.622377622	-0.658467237	-0.612691249	-0.76357385	-0.831006522	-0.817380434	-0.870136541	-0.683016527	-0.841131989	0	-0.821112765	-0.636363636	-0.608391608	-0.686941496	-0.740330731	-0.769230769	-0.774081748	-0.783216783	-0.692307692	-0.819378576	-0.741258741	-0.661988246	-0.692307692	-0.636363636	-0.70829719	0	-0.850668484	-0.774081748	-0.787521788	-0.696109232	-0.671328671	-0.64778939	-0.839774418	-0.608391608	-0.794986449	-0.678321678	-0.848383127	-0.8048763	-0.740330731	-0.762237762	-0.794986449	-0.780057126	-0.775923555	-0.89949171	-0.824845095	-0.619733677	-0.841131989	-0.640860962	-0.802451111	0	-0.761369473	-0.643356643	-0.727272727	0	-0.767624669	0	-0.685314685	-0.688858095	-0.872155453	-0.86013986	-0.870136541	-0.822194226	-0.779482837	-0.761369473	-0.727804496	-0.692307692	-0.862885403	-0.794986449	-0.676263649	-0.755244755	-0.798600174	0	-0.734265734	-0.757663142	-0.643356643	-0.783122887	-0.692307692	-0.892027049	-0.710611508	-0.847109202	-0.676073103
HN3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.748251748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HN4	0	0	0	0	0	0	0	0	0	0	0	-0.727272727	-0.65034965	-0.678321678	-0.615755849	-0.727272727	-0.811188811	-0.656890212	-0.754567861	-0.664335664	-0.661988246	-0.669002777	-0.704029101	-0.768620611	-0.671328671	-0.734265734	0	-0.676073103	-0.679284196	-0.813648103	-0.676008042	-0.694213519	-0.678321678	-0.64790339	-0.633818534	-0.636363636	-0.753930811	-0.692307692	-0.711285243	-0.72027972	0	-0.874125874	0	-0.63810013	-0.804195804	-0.661988246	0	-0.64790339	-0.640670825	-0.704029101	-0.679284196	-0.739055424	-0.679284196	-0.724072165	-0.739616059	0	-0.622377622	-0.716607504	-0.605955395	0	-0.839160839	-0.739001488	-0.657342657	-0.721542262	-0.833880851	-0.676008042	-0.709142842	-0.654907955	-0.899141092	0	-0.656890212	-0.678321678	-0.643356643	-0.754118335	-0.769230769	-0.70336037	-0.64942555	-0.64942555	-0.633976454	-0.843506749	-0.74646615	-0.683013307	0	-0.753930811	-0.797202797	-0.701678181	-0.836042088	-0.634496227	-0.662026519	-0.609095578	-0.746867197	0	-0.686515939	-0.811188811	0	-0.748251748	-0.833880851	-0.776223776	0	-0.658467237	-0.654945818	-0.7253701	-0.619733677	0	-0.694213519	-0.753930811	-0.767624669	-0.776324796	-0.718327672	-0.678321678	0	-0.692307692	0	-0.697619343	-0.746867197	-0.615384615	-0.630848992	-0.694213519	-0.818181818	0	0	-0.715415755	-0.622377622	-0.818181818	-0.758127143	-0.718327672	-0.640981719	-0.654945818	-0.768860134	-0.775871749	-0.679284196	-0.623597854	0	-0.683016527	-0.713286713	-0.748251748	-0.605078001	-0.711856472	-0.671328671	-0.665500145	-0.818181818	-0.727272727	-0.681606957	-0.685314685	-0.739454956	0	-0.699300699	-0.654907955	-0.755244755	-0.761686425	-0.760071218	-0.79871878	-0.696109232	-0.762237762	-0.704737908	-0.821112765	-0.685314685	-0.753930811	-0.727272727	-0.688858095	-0.732364922	0	-0.65034965	-0.753930811	-0.731536827	-0.658467237	-0.836042088	-0.724072165	-0.64790339	-0.696109232	-0.732412528	-0.783789457	0	0	-0.79020979	-0.881118881	-0.755244755	-0.774667097	-0.636363636	0	-0.761369473	-0.690018571	0	-0.775871749	-0.754567861	0	-0.630848992	-0.74646615	-0.72027972	-0.819378576	-0.828577426	0	-0.748251748	-0.77758438	0	0	-0.679284196	-0.608391608	-0.609095578	-0.671328671	-0.768860134	-0.717862646	-0.729652884	-0.669030674
HN5	0	0	0	0	0	0	0	0	0	0	0	-0.794986449	-0.787521788	-0.914421033	-0.824457612	-0.84723908	-0.89949171	-0.860557769	-0.839654987	-0.824845095	-0.845709294	-0.837507544	-0.800118814	-0.870772769	-0.817380434	-0.84723908	-0.74646615	-0.785569966	-0.860557769	-0.860557769	-0.80759656	-0.860557769	-0.780057126	-0.905848621	-0.860744126	-0.712875173	-0.860557769	-0.877097726	-0.808122214	-0.817380434	-0.847552161	-0.802451111	0	-0.801110947	-0.817380434	-0.85322671	-0.787521788	-0.781811258	-0.786464174	-0.852463036	-0.860557769	-0.788902195	-0.860557769	-0.860557769	-0.870772769	-0.785163322	-0.854703741	-0.860557769	-0.788902195	-0.780057126	-0.839774418	-0.860557769	-0.832309757	-0.815074306	-0.870772769	-0.830029798	-0.860557769	-0.86245105	-0.801110947	-0.914421033	-0.860557769	-0.824845095	-0.832309757	-0.847552161	-0.869633064	-0.893993376	-0.860557769	-0.860557769	-0.852463036	-0.860557769	-0.860557769	-0.837507544	-0.786464174	-0.860557769	-0.89949171	-0.860557769	-0.860557769	-0.762948207	-0.763668111	-0.847552161	-0.77789034	-0.800118814	-0.889851765	-0.854703741	-0.837507544	-0.794986449	-0.893993376	-0.914421033	-0.786464174	-0.718075985	-0.785569966	-0.845709294	-0.763017718	-0.686748858	-0.860557769	-0.860557769	-0.905848621	-0.860557769	-0.887055081	-0.817380434	0	-0.862168403	-0.847552161	-0.915641864	-0.893993376	-0.75019848	-0.77789034	-0.860557769	-0.809915772	-0.664354873	-0.727804496	-0.854852363	0	-0.802451111	-0.835855643	-0.928400869	-0.852463036	-0.740465471	-0.860557769	-0.847552161	-0.860557769	-0.847552161	0	-0.707171315	-0.794986449	-0.869633064	-0.896645145	-0.86245105	-0.809915772	-0.702908117	-0.802451111	-0.854703741	-0.847552161	-0.75019848	-0.808122214	-0.716607504	-0.802451111	-0.801661549	-0.839774418	-0.896645145	-0.740296847	-0.860557769	-0.824331554	-0.824845095	-0.870049738	-0.860557769	-0.929350356	-0.860557769	-0.794986449	-0.847552161	-0.824331554	-0.824457612	-0.892027049	-0.860557769	-0.860557769	-0.824457612	-0.860557769	-0.860557769	-0.81563963	-0.847552161	-0.808122214	-0.860557769	-0.64942555	-0.847552161	-0.862168403	-0.817380434	-0.742733819	-0.77805255	-0.817380434	-0.877097726	-0.870772769	-0.785163322	-0.772592465	-0.824331554	-0.801661549	-0.881447769	-0.77789034	-0.860557769	-0.64942555	-0.77789034	-0.860557769	0	-0.862168403	-0.822552052	0	-0.794986449	-0.860557769	-0.877097726	-0.847552161	-0.802451111	-0.860557769	-0.77789034	-0.725674672	-0.763017718
HN6	0	0	0	0	0	0	0	0	0	0	0	-0.70829719	0	0	-0.626811594	0	0	-0.778865486	-0.68115942	-0.658467237	-0.652367464	-0.695276643	-0.773718111	-0.727061029	-0.686941496	-0.651348672	-0.839990637	-0.784991618	-0.744671391	-0.740872048	0	-0.718075985	-0.608637284	0	0	-0.82931279	-0.710477297	0	0	-0.605078001	-0.745514355	-0.76880499	0	-0.704917038	-0.672704366	-0.69896514	0	-0.630860844	-0.764492754	-0.745193941	-0.725674672	-0.65605591	-0.778865486	-0.664885171	-0.693845043	0	0	-0.786464174	-0.727366335	-0.715415755	-0.683382213	-0.725674672	-0.733212166	-0.645359346	0	-0.773718111	-0.710477297	-0.612318841	0	-0.654907955	-0.81305958	-0.697619343	-0.640670825	-0.608959745	0	-0.715989034	-0.794062861	-0.847253675	-0.68458008	-0.664885171	-0.828256956	-0.65605591	-0.68115942	-0.630691076	-0.754567861	-0.744671391	0	0	-0.724637681	-0.738133024	-0.819327657	-0.823635408	-0.65605591	0	-0.795111238	-0.729652884	-0.656938392	0	-0.829710145	0	-0.946291266	-0.634445281	-0.734809506	0	-0.786464174	-0.657286483	0	-0.691480578	0	-0.743890014	0	-0.697619343	-0.752895685	-0.695652174	-0.826708987	-0.637111543	-0.823018322	-0.847253675	-0.669145084	0	-0.740330731	-0.710144928	0	-0.619315131	-0.630434783	0	-0.691711122	-0.802913801	-0.706677953	0	-0.691480578	-0.752895685	0	0	-0.747449296	-0.64778939	-0.699275362	0	-0.761686425	-0.720235292	-0.733212166	-0.605078001	-0.627413071	-0.747449296	-0.802913801	0	-0.76880499	-0.807971014	-0.605078001	-0.68115942	-0.613269655	0	-0.723370364	-0.718975037	0	-0.657286483	-0.626433696	-0.680082546	-0.747449296	-0.675391717	-0.830399652	-0.65942029	-0.70829719	-0.672483859	-0.725674672	-0.626811594	-0.706677953	-0.847253675	-0.630860844	-0.634794401	-0.695380703	-0.714276641	-0.740330731	-0.679082382	-0.626433696	-0.70829719	0	-0.69896514	-0.612196566	-0.669145084	-0.701226373	0	-0.669145084	-0.804564997	-0.815217391	-0.789855072	-0.922666281	-0.691480578	0	-0.719679699	-0.630691076	0	0	0	-0.612196566	-0.686941496	-0.81305958	-0.637111543	-0.712298369	-0.726093602	-0.801661549	-0.730751694	-0.706521739	-0.817251548
HN7	0	0	0	0	0	0	0	0	0	0	0	-0.717862646	-0.761369473	-0.841131989	-0.885759629	-0.877387678	-0.899141092	-0.870772769	-0.815636992	-0.696109232	-0.817866926	-0.835342519	-0.802655203	-0.789473684	-0.833880851	-0.8048763	-0.674355819	-0.847076459	-0.824331554	-0.77789034	-0.799023279	-0.893993376	-0.790374024	-0.861681225	-0.795959776	-0.70336037	-0.824331554	-0.913643368	-0.803262159	-0.746867197	-0.857142857	-0.783122887	-0.617427079	-0.812030075	-0.848383127	-0.788657393	-0.725113784	-0.679121644	-0.701226373	-0.799023279	-0.870772769	-0.882557531	-0.801110947	-0.870772769	-0.812030075	-0.769967887	-0.812127438	-0.801110947	-0.679169787	-0.725113784	-0.841131989	-0.893993376	-0.768620611	-0.795391355	-0.902255639	-0.791759431	-0.870772769	-0.867306304	-0.781954887	-0.884638816	-0.824331554	-0.775871749	-0.775871749	-0.812030075	-0.841131989	-0.857142857	-0.893993376	-0.824331554	-0.780863659	-0.77789034	-0.77789034	-0.835342519	-0.811946327	-0.870772769	-0.90639223	-0.870772769	-0.847552161	-0.661787304	-0.804564997	-0.766917293	-0.766917293	-0.733648647	-0.860765987	-0.920894505	-0.813550975	-0.783122887	-0.834586466	-0.899141092	-0.723370364	0	-0.75944786	-0.774052626	-0.810564543	-0.616346716	-0.824331554	-0.893993376	-0.839774076	-0.870772769	-0.788657393	-0.688858095	0	-0.833880851	-0.789473684	-0.870996969	-0.766917293	-0.819378576	-0.834586466	-0.77789034	-0.812127438	-0.616346716	-0.746867197	-0.882068964	-0.696109232	-0.790374024	-0.878378299	-0.883588375	-0.864397911	-0.803262159	-0.893993376	-0.812030075	-0.893993376	-0.766917293	0	-0.68113781	-0.812127438	-0.8048763	-0.811946327	-0.867306304	-0.768620611	-0.817182899	-0.732364922	-0.942647919	-0.857142857	-0.659853543	-0.752145476	-0.761369473	-0.819378576	-0.800874332	-0.761369473	-0.767658345	-0.733648647	-0.870772769	-0.857142857	-0.775871749	-0.882068964	-0.824331554	-0.913643368	-0.893993376	-0.739616059	-0.857142857	-0.812030075	-0.863615639	-0.855634265	-0.893993376	-0.893993376	-0.885759629	-0.824331554	-0.77789034	-0.847076459	-0.857142857	-0.898193142	-0.847552161	-0.674355819	-0.812030075	-0.790374024	-0.732364922	0	-0.71563356	-0.739616059	-0.812127438	-0.812030075	-0.748176343	-0.70336037	-0.834586466	-0.75658635	-0.760277015	-0.766917293	-0.870772769	-0.70336037	-0.789473684	-0.870772769	0	-0.732364922	-0.777231735	0	-0.70336037	-0.801110947	-0.812127438	-0.857142857	-0.746867197	-0.801110947	-0.812030075	-0.723370364	-0.839774076
HN8	0	0	0	0	0	0	0	0	0	0	0	-0.671328671	0	0	0	0	0	0	0	0	0	0	-0.65849488	0	0	0	0	0	0	0	-0.647986983	0	0	0	0	-0.608391608	-0.668087204	0	0	0	0	-0.748251748	0	-0.688858095	-0.629370629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.685314685	-0.690481188	0	-0.619965924	-0.732364922	0	-0.623299235	0	-0.652602405	0	0	0	0	0	-0.636363636	0	0	0	0	-0.638228558	-0.615834573	0	0	0	0	-0.645693219	-0.638228558	0	0	0	-0.645351268	0	0	0	0	-0.678321678	0	0	0	0	0	0	0	0	0	-0.645693219	0	-0.675551865	0	0	0	0	0	0	0	0	-0.616346716	0	-0.629370629	0	-0.643356643	0	-0.692307692	0	0	0	0	-0.626776106	-0.660622542	-0.609095578	0	0	0	-0.604637581	-0.608391608	0	0	0	0	-0.683013307	-0.671328671	0	0	-0.636363636	0	0	0	0	0	0	-0.683013307	0	0	-0.699300699	0	-0.660622542	0	0	-0.671328671	0	0	0	0	0	-0.653157881	0	-0.675551865	-0.630763896	0	0	0	-0.653157881	0	0	-0.629370629	-0.79020979	0	-0.612691249	0	0	0	-0.669002777	0	-0.609095578	0	0	0	-0.683016527	-0.671328671	-0.717862646	-0.757663142	0	0	-0.65849488	0	0	0	0	0	-0.65034965	0	-0.681606957	-0.736771449	0
HN9	0	0	0	0	0	0	0	0	0	0	0	-0.711285243	-0.605648821	0	0	-0.626776106	0	-0.763017718	0	-0.669030674	-0.645390071	0	0	-0.832471692	0	0	-0.612691249	-0.624113475	-0.770535134	-0.763017718	0	-0.605151984	0	0	0	0	-0.740465471	-0.619733677	0	0	-0.606097811	-0.76058224	0	-0.75944786	0	-0.744680851	-0.619733677	-0.709219858	-0.673874083	0	-0.620186815	-0.807771448	-0.763017718	-0.763017718	-0.803262159	0	-0.64790339	-0.665291311	0	0	0	-0.657773895	0	0	-0.69372641	0	-0.665291311	0	0	0	-0.680326143	0	0	0	0	0	-0.680326143	-0.710395807	0	-0.725430639	-0.860744126	0	-0.616523098	-0.732948055	-0.64790339	-0.695360975	-0.605151984	0	0	-0.73754071	-0.774052626	-0.631402136	-0.687840316	-0.64790339	0	0	0	0	-0.731225069	-0.652367464	-0.765957447	0	-0.723404255	0	-0.85322671	0	0	0	-0.617021277	0	0	0	-0.657214494	-0.67745852	-0.701028794	-0.697200387	-0.708331177	-0.785569966	0	0	0	-0.759900562	0	0	-0.781407182	0	0	0	-0.620186815	0	-0.740465471	-0.69372641	-0.767624669	0	0	0	0	0	-0.661988246	-0.663148612	-0.626776106	-0.633818534	0	-0.711285243	-0.765957447	0	0	0	-0.605648821	0	0	-0.605151984	-0.861681225	0	-0.68821183	0	-0.605648821	-0.642739063	-0.640860962	-0.613400194	-0.927402675	-0.663120773	0	0	-0.620186815	0	-0.620186815	-0.823157046	-0.744680851	0	-0.744680851	-0.823157046	0	-0.620702578	0	-0.690157959	-0.64790339	-0.709219858	0	0	-0.854378842	0	-0.732412528	-0.766750243	0	-0.652367464	-0.795959776	-0.77805255	0	0	-0.657773895	0	0	-0.606710432	0	0	-0.830674462	0	0	-0.640860962	-0.695360975	-0.708331177	0	-0.617021277
HN10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.605078001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.615755849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.623188406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.672704366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
