source	target	weight	correlation
HN1	F56	0.692307692	-0.692307692
HN1	F71	0.692307692	-0.692307692
HN1	F72	0.727272727	-0.727272727
HN1	F84	0.734265734	-0.734265734
HN1	F88	0.713286713	-0.713286713
HN1	F95	0.72027972	-0.72027972
HN1	F96	0.753065953	-0.753065953
HN1	F104	0.727272727	-0.727272727
HN1	F106	0.734265734	-0.734265734
HN1	F111	0.713286713	-0.713286713
HN1	F125	0.699300699	-0.699300699
HN1	F134	0.711285243	-0.711285243
HN1	F144	0.762237762	-0.762237762
HN1	F153	0.756568586	-0.756568586
HN1	F160	0.839160839	-0.839160839
HN1	F161	0.72027972	-0.72027972
HN1	F175	0.760071218	-0.760071218
HN1	F183	0.811188811	-0.811188811
HN1	F208	0.77758438	-0.77758438
HN1	F219	0.755244755	-0.755244755
HN1	F224	0.767076483	-0.767076483
HN1	F230	0.914421033	-0.914421033
HN1	F257	0.746497384	-0.746497384
HN1	F285	0.755244755	-0.755244755
HN1	F307	0.781709525	-0.781709525
HN1	F315	0.795794381	-0.795794381
HN1	F320	0.734265734	-0.734265734
HN1	F321	0.832167832	-0.832167832
HN1	F328	0.727272727	-0.727272727
HN1	F332	0.781087012	-0.781087012
HN1	F334	0.72027972	-0.72027972
HN1	F341	0.72027972	-0.72027972
HN1	F347	0.783122887	-0.783122887
HN1	F351	0.704242815	-0.704242815
HN1	F362	0.699300699	-0.699300699
HN1	F370	0.746497384	-0.746497384
HN1	F372	0.776223776	-0.776223776
HN1	F374	0.717862646	-0.717862646
HN1	F387	0.762237762	-0.762237762
HN1	F399	0.692307692	-0.692307692
HN1	F404	0.818181818	-0.818181818
HN1	F408	0.868464896	-0.868464896
HN1	F419	0.76058224	-0.76058224
HN1	F422	0.755244755	-0.755244755
HN1	F459	0.839160839	-0.839160839
HN2	F6	0.762237762	-0.762237762
HN2	F71	0.776223776	-0.776223776
HN2	F72	0.818181818	-0.818181818
HN2	F84	0.755244755	-0.755244755
HN2	F88	0.755244755	-0.755244755
HN2	F104	0.755244755	-0.755244755
HN2	F111	0.769230769	-0.769230769
HN2	F125	0.741258741	-0.741258741
HN2	F135	0.72027972	-0.72027972
HN2	F144	0.769230769	-0.769230769
HN2	F158	0.753539812	-0.753539812
HN2	F159	0.767624669	-0.767624669
HN2	F160	0.776223776	-0.776223776
HN2	F173	0.816921666	-0.816921666
HN2	F175	0.756568586	-0.756568586
HN2	F208	0.746060689	-0.746060689
HN2	F219	0.741258741	-0.741258741
HN2	F230	0.809915772	-0.809915772
HN2	F243	0.713286713	-0.713286713
HN2	F270	0.72027972	-0.72027972
HN2	F285	0.706293706	-0.706293706
HN2	F320	0.832167832	-0.832167832
HN2	F321	0.692307692	-0.692307692
HN2	F322	0.783216783	-0.783216783
HN2	F328	0.727272727	-0.727272727
HN2	F334	0.783216783	-0.783216783
HN2	F341	0.706293706	-0.706293706
HN2	F347	0.8048763	-0.8048763
HN2	F372	0.713286713	-0.713286713
HN2	F374	0.783122887	-0.783122887
HN2	F382	0.697200387	-0.697200387
HN2	F395	0.76058224	-0.76058224
HN2	F408	0.736771449	-0.736771449
HN2	F419	0.718327672	-0.718327672
HN2	F424	0.769230769	-0.769230769
HN2	F458	0.713286713	-0.713286713
HN2	F459	0.699300699	-0.699300699
HN3	F2	0.704029101	-0.704029101
HN3	F333	0.748251748	-0.748251748
HN4	F11	0.812610703	-0.812610703
HN4	F36	0.825174825	-0.825174825
HN4	F41	0.755244755	-0.755244755
HN4	F56	0.797202797	-0.797202797
HN4	F68	0.699300699	-0.699300699
HN4	F71	0.72027972	-0.72027972
HN4	F72	0.692307692	-0.692307692
HN4	F84	0.713286713	-0.713286713
HN4	F88	0.741258741	-0.741258741
HN4	F95	0.727272727	-0.727272727
HN4	F96	0.693521204	-0.693521204
HN4	F104	0.804195804	-0.804195804
HN4	F111	0.727272727	-0.727272727
HN4	F125	0.769230769	-0.769230769
HN4	F134	0.795794381	-0.795794381
HN4	F144	0.713286713	-0.713286713
HN4	F148	0.748251748	-0.748251748
HN4	F149	0.748251748	-0.748251748
HN4	F153	0.8231186	-0.8231186
HN4	F158	0.7253701	-0.7253701
HN4	F161	0.699300699	-0.699300699
HN4	F175	0.854642291	-0.854642291
HN4	F183	0.811188811	-0.811188811
HN4	F230	0.739001488	-0.739001488
HN4	F243	0.699300699	-0.699300699
HN4	F249	0.70336037	-0.70336037
HN4	F257	0.718327672	-0.718327672
HN4	F270	0.769230769	-0.769230769
HN4	F307	0.746497384	-0.746497384
HN4	F320	0.72027972	-0.72027972
HN4	F322	0.692307692	-0.692307692
HN4	F328	0.818181818	-0.818181818
HN4	F332	0.739055424	-0.739055424
HN4	F334	0.692307692	-0.692307692
HN4	F341	0.748251748	-0.748251748
HN4	F347	0.841131989	-0.841131989
HN4	F360	0.749563321	-0.749563321
HN4	F362	0.72027972	-0.72027972
HN4	F363	0.706293706	-0.706293706
HN4	F370	0.746497384	-0.746497384
HN4	F374	0.826629714	-0.826629714
HN4	F382	0.809879237	-0.809879237
HN4	F387	0.832167832	-0.832167832
HN4	F388	0.692307692	-0.692307692
HN4	F395	0.739454956	-0.739454956
HN4	F404	0.692307692	-0.692307692
HN4	F408	0.793719967	-0.793719967
HN4	F422	0.818181818	-0.818181818
HN5	F4	0.809915772	-0.809915772
HN5	F6	0.824845095	-0.824845095
HN5	F11	0.912285003	-0.912285003
HN5	F33	0.862168403	-0.862168403
HN5	F36	0.884562387	-0.884562387
HN5	F41	0.839774418	-0.839774418
HN5	F56	0.884562387	-0.884562387
HN5	F68	0.817380434	-0.817380434
HN5	F71	0.780057126	-0.780057126
HN5	F72	0.802451111	-0.802451111
HN5	F84	0.862168403	-0.862168403
HN5	F88	0.84723908	-0.84723908
HN5	F95	0.89949171	-0.89949171
HN5	F104	0.862168403	-0.862168403
HN5	F106	0.824845095	-0.824845095
HN5	F111	0.854703741	-0.854703741
HN5	F125	0.772592465	-0.772592465
HN5	F134	0.883296373	-0.883296373
HN5	F135	0.854703741	-0.854703741
HN5	F143	0.701678181	-0.701678181
HN5	F144	0.817380434	-0.817380434
HN5	F148	0.862168403	-0.862168403
HN5	F149	0.862168403	-0.862168403
HN5	F153	0.878635146	-0.878635146
HN5	F158	0.75925901	-0.75925901
HN5	F159	0.830674462	-0.830674462
HN5	F160	0.712875173	-0.712875173
HN5	F161	0.832309757	-0.832309757
HN5	F163	0.934718241	-0.934718241
HN5	F171	0.727804496	-0.727804496
HN5	F175	0.859940782	-0.859940782
HN5	F178	0.80759656	-0.80759656
HN5	F181	0.783789457	-0.783789457
HN5	F183	0.802451111	-0.802451111
HN5	F208	0.755252339	-0.755252339
HN5	F219	0.780057126	-0.780057126
HN5	F223	0.850971411	-0.850971411
HN5	F230	0.860557769	-0.860557769
HN5	F243	0.780057126	-0.780057126
HN5	F249	0.893993376	-0.893993376
HN5	F257	0.736706763	-0.736706763
HN5	F270	0.854703741	-0.854703741
HN5	F285	0.821112765	-0.821112765
HN5	F307	0.913366037	-0.913366037
HN5	F315	0.785569966	-0.785569966
HN5	F317	0.716607504	-0.716607504
HN5	F320	0.809915772	-0.809915772
HN5	F321	0.794986449	-0.794986449
HN5	F322	0.787521788	-0.787521788
