label	genus	group
HN1	Coslenchus	HN
HN2	Helicotylenchus	HN
HN3	Pratylenchus	HN
HN4	Paratylenchus	HN
HN5	Tylenchus	HN
HN6	Malenchus	HN
HN7	Basiria	HN
HN8	Boleodorus	HN
HN9	Aglenchus	HN
HN12	Nagelus	HN
F1	Acaulium	F
F2	Achroiostachys	F
F4	Acremonium	F
F6	Acrophialophora	F
F11	Alatospora	F
F33	Arthrobotrys	F
F36	Arthrographis	F
F41	Ascodesmis	F
F52	Bipolaris	F
F56	Botryotrichum	F
F68	Cephaliophora	F
F71	Ceramothyrium	F
F72	Ceratobasidium	F
F84	Chrysosporium	F
F86	Cistella	F
F88	Cladorrhinum	F
F95	Clonostachys	F
F96	Codinaea	F
F104	Conocybe	F
F106	Coprinopsis	F
F111	Corynascella	F
F112	Corynespora	F
F125	Dactylella	F
F134	Diaporthe	F
F135	Dichotomopilus	F
F143	Elaphomyces	F
F144	Emericellopsis	F
F148	Entophlyctis	F
F149	Entorrhiza	F
F153	Exophiala	F
F158	Funneliformis	F
F159	Fusariella	F
F160	Fusarium	F
F161	Fusicolla	F
F163	Gaeumannomyces	F
F171	Gibberella	F
F173	Gigaspora	F
F175	Gymnoascus	F
F178	Hannaella	F
F181	Humicola	F
F183	Hyalorbilia	F
F208	Lepista	F
F219	Lophodermium	F
F223	Madurella	F
F224	Magnaporthiopsis	F
F230	Melanocarpus	F
F243	Moesziomyces	F
F249	Monosporascus	F
F257	Myrothecium	F
F270	Ochroconis	F
F285	Paradiplococcium	F
F307	Phlyctochytrium	F
F315	Plectosphaerella	F
F317	Pleurocatena	F
F320	Poaceascoma	F
F321	Podospora	F
F322	Polyschema	F
F328	Pseudaleuria	F
F332	Pseudocosmospora	F
F333	Pseudogymnoascus	F
F334	Pseudophialophora	F
F341	Pulvinula	F
F342	Pyrenochaeta	F
F347	Ramaria	F
F351	Remersonia	F
F356	Rhizopus	F
F360	Rinaldiella	F
F362	Roussoella	F
F363	Saccharomyces	F
F364	Saccharomycopsis	F
F370	Savoryella	F
F372	Schizothecium	F
F373	Scolecobasidium	F
F374	Scopulariopsis	F
F376	Scutellospora	F
F377	Scytalidium	F
F382	Serenomyces	F
F387	Smaragdiniseta	F
F388	Solicoccozyma	F
F391	Sphaerobolus	F
F395	Spizellomyces	F
F396	Stachybotrys	F
F399	Staphylotrichum	F
F402	Stolonocarpus	F
F404	Striaticonidium	F
F408	Synnemellisia	F
F419	Thermomyces	F
F422	Tolypocladium	F
F424	Torula	F
F458	Yarrowia	F
F459	Zopfiella	F
