	NPK1	NPK2	NPK3	NPK4	NPK5	NPK6	NPKM1	NPKM2	NPKM3	NPKM4	NPKM5	NPKM6	genus	group
HN1	3.296282713	4.443946667	2.4265152	4.133723301	2.509624786	5.083678118	0.974559086	0.970014934	1.466556737	1.319151909	0.303755637	1.7959552	Coslenchus	HN
HN2	7.529231583	7.702314667	16.6584384	19.41972229	8.887978125	18.29396078	3.071706515	4.383930819	6.37768327	6.744040595	5.526600146	5.583871508	Helicotylenchus	HN
HN3	14.93344612	8.864213334	8.125344	6.198452632	13.90292341	14.89627391	8.358482745	10.09045242	8.536338406	4.748293852	10.77930909	8.168317046	Pratylenchus	HN
HN4	6.051145461	5.460608	2.2150656	1.232281959	2.731120408	1.613186845	0.295342629	0	0.362658636	1.3618176	1.002028509	0.833453785	Paratylenchus	HN
HN5	2.185874922	2.806869334	2.3124096	1.912293326	3.818735011	1.613186845	0	0	0	0	0	0	Tylenchus	HN
HN6	2.879879792	3.855104	1.8727488	4.723036733	0.34300416	2.016483556	0	0.5402592	0.658879526	0	0	0	Malenchus	HN
HN7	2.602277844	4.008234667	0.6511104	1.129236409	2.965528902	2.077153883	0.0885312	0	0	0	0	0	Basiria	HN
HN8	5.697251061	1.790208	2.96352	2.130732039	2.108018502	5.291393506	0.812013257	0.493338362	1.664495491	2.385337783	1.791647128	0.4282112	Boleodorus	HN
HN9	2.324675896	1.597610667	0.5537664	1.116888795	1.706412218	4.863828664	0	0.537194667	0.604431059	0	0.6072192	0	Aglenchus	HN
HN10	1.0616832	2.814762667	0	0	5.245049484	1.613186845	0.2655936	0.694618972	0	0.288171155	0	0.1070528	Rotylenchus	HN
HN11	0	0	4.3311744	1.450720671	0	2.700300047	0.72384	0.6446336	0.241772424	0	0.759024	0.192110769	Macroposthonia	HN
HN12	0.7077888	1.016661334	0.5537664	1.013843245	0	1.038576941	0	0	0.411799704	0.33619968	0.182253382	0	Nagelus	HN
HN13	0	0	1.3022208	0.461572655	1.37201664	0	0.1770624	0.107438934	0	0	0.303755637	0	Hirschmanniella	HN
F1	0.000117068	0	0.000346591	0.000252582	0.000188727	0.000254474	0	0.000569729	0.001303025	0.001134972	0.002197608	0.002815869	Acaulium	F
F2	0	0.000541895	0.001154956	0.000757519	0.000283005	0.000254474	0.000790383	0.001898525	0.000217225	0.00245886	0	0.001689521	Achroiostachys	F
F4	0	0.000812884	0.000461982	0.000505012	0.000283005	0.001908057	0.001777886	0.004746312	0.00130309	0.004161152	0.005494019	0.002064972	Acremonium	F
F6	0.020363627	0.014224748	0.012011538	0.012120297	0.006509126	0.008522321	0.027457559	0.023162001	0.080349209	0.062038964	0.082190512	0.088793739	Acrophialophora	F
F9	0.000819227	0.006367351	0.001155024	0.001388782	0.000566039	0.002162381	0.000592787	0	0	0.0001892	0	0.000187781	Agonimia	F
F10	0.004681294	0	0.000231061	0.001010024	0.001037687	0.000508795	0.000790383	0.003607253	0.002388761	0.003215492	0.001758084	0.002064968	Agrocybe	F
F11	0.000117068	0	0	0.000126291	9.43635E-05	0.000127237	0.000197596	0.000379819	0.008034919	0.0001892	0.002637131	0.035292228	Alatospora	F
F13	0.015799365	0.00392874	0.002887458	0.005302628	0.010376867	0.005851221	0.005136065	0.019934511	0.008034919	0.02269718	0.012306603	0.08053386	Alternaria	F
F14	0.002574713	0.001490253	0.000346486	0.000378758	0	0	0.000790203	0.001139112	0.000217225	0.000756628	0.001318696	0.001126404	Amanita	F
F21	0	0.000541895	0.001154956	0.000378758	0.000754681	0.000254474	0.000592608	0.000379819	0.000217225	0.001134972	0.000219827	0.000751124	Apiosordaria	F
F29	0.384100153	0.247375165	0.463945645	0.366891431	0.278383062	0.681403913	0.164942902	0.033414035	0.054724326	0.070928692	0.066587502	0.050685641	Arcopilus	F
F30	0.005500519	0.002980425	0.004966308	0.001893796	0.003773407	0.002035181	0.003160584	0.001139116	0.00629764	0.001702288	0.001977846	0.003191316	Arnium	F
F33	0.000117068	0.000271029	0.00011553	0.000505164	0	0.001780861	0.002172902	0.001708728	0.001737278	0.00453944	0.003296411	0.001877246	Arthrobotrys	F
F34	0.001053362	0.006502782	0.05012507	0.001388822	0.007169501	0.005596747	0.002568035	0	0.001520186	0.0003784	0.000439654	0	Arthrocladium	F
F36	0.000117068	0.000135515	0.000231061	0.00063134	0.000188727	0.000763231	0.007901457	0.006644837	0.012378119	0.006809156	0.009229954	0.011638928	Arthrographis	F
