	HN1	HN2	HN3	HN4	HN5	HN6	HN7	HN8	HN9	HN12	F1	F2	F4	F6	F11	F33	F36	F41	F52	F56	F68	F71	F72	F84	F86	F88	F95	F96	F104	F106	F111	F112	F125	F134	F135	F143	F144	F148	F149	F153	F158	F159	F160	F161	F163	F171	F173	F175	F178	F181	F183	F208	F219	F223	F224	F230	F243	F249	F257	F270	F285	F307	F315	F317	F320	F321	F322	F328	F332	F333	F334	F341	F342	F347	F351	F356	F360	F362	F363	F364	F370	F372	F373	F374	F376	F377	F382	F387	F388	F391	F395	F396	F399	F402	F404	F408	F419	F422	F424	F458	F459
HN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.692307692	0	-0.692307692	-0.727272727	-0.734265734	0	-0.713286713	-0.72027972	-0.753065953	-0.727272727	-0.734265734	-0.713286713	0	-0.699300699	-0.711285243	0	0	-0.762237762	0	0	-0.756568586	0	0	-0.839160839	-0.72027972	0	0	0	-0.760071218	0	0	-0.811188811	-0.77758438	-0.755244755	0	-0.767076483	-0.914421033	0	0	-0.746497384	0	-0.755244755	-0.781709525	-0.795794381	0	-0.734265734	-0.832167832	0	-0.727272727	-0.781087012	0	-0.72027972	-0.72027972	0	-0.783122887	-0.704242815	0	0	-0.699300699	0	0	-0.746497384	-0.776223776	0	-0.717862646	0	0	0	-0.762237762	0	0	0	0	-0.692307692	0	-0.818181818	-0.868464896	-0.76058224	-0.755244755	0	0	-0.839160839
HN2	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.762237762	0	0	0	0	0	0	0	-0.776223776	-0.818181818	-0.755244755	0	-0.755244755	0	0	-0.755244755	0	-0.769230769	0	-0.741258741	0	-0.72027972	0	-0.769230769	0	0	0	-0.753539812	-0.767624669	-0.776223776	0	0	0	-0.816921666	-0.756568586	0	0	0	-0.746060689	-0.741258741	0	0	-0.809915772	-0.713286713	0	0	-0.72027972	-0.706293706	0	0	0	-0.832167832	-0.692307692	-0.783216783	-0.727272727	0	0	-0.783216783	-0.706293706	0	-0.8048763	0	0	0	0	0	0	0	-0.713286713	0	-0.783122887	0	0	-0.697200387	0	0	0	-0.76058224	0	0	0	0	-0.736771449	-0.718327672	0	-0.769230769	-0.713286713	-0.699300699
HN3	0	0	0	0	0	0	0	0	0	0	0	-0.704029101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.748251748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HN4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.812610703	0	-0.825174825	-0.755244755	0	-0.797202797	-0.699300699	-0.72027972	-0.692307692	-0.713286713	0	-0.741258741	-0.727272727	-0.693521204	-0.804195804	0	-0.727272727	0	-0.769230769	-0.795794381	0	0	-0.713286713	-0.748251748	-0.748251748	-0.8231186	-0.7253701	0	0	-0.699300699	0	0	0	-0.854642291	0	0	-0.811188811	0	0	0	0	-0.739001488	-0.699300699	-0.70336037	-0.718327672	-0.769230769	0	-0.746497384	0	0	-0.72027972	0	-0.692307692	-0.818181818	-0.739055424	0	-0.692307692	-0.748251748	0	-0.841131989	0	0	-0.749563321	-0.72027972	-0.706293706	0	-0.746497384	0	0	-0.826629714	0	0	-0.809879237	-0.832167832	-0.692307692	0	-0.739454956	0	0	0	-0.692307692	-0.793719967	0	-0.818181818	0	0	0
HN5	0	0	0	0	0	0	0	0	0	0	0	0	-0.809915772	-0.824845095	-0.912285003	-0.862168403	-0.884562387	-0.839774418	0	-0.884562387	-0.817380434	-0.780057126	-0.802451111	-0.862168403	0	-0.84723908	-0.89949171	0	-0.862168403	-0.824845095	-0.854703741	0	-0.772592465	-0.883296373	-0.854703741	-0.701678181	-0.817380434	-0.862168403	-0.862168403	-0.878635146	-0.75925901	-0.830674462	-0.712875173	-0.832309757	-0.934718241	-0.727804496	0	-0.859940782	-0.80759656	-0.783789457	-0.802451111	-0.755252339	-0.780057126	-0.850971411	0	-0.860557769	-0.780057126	-0.893993376	-0.736706763	-0.854703741	-0.821112765	-0.913366037	-0.785569966	-0.716607504	-0.809915772	-0.794986449	-0.787521788	-0.824845095	-0.889851765	-0.705410511	-0.802451111	-0.854703741	0	-0.824331554	-0.860744126	0	-0.841246417	-0.817380434	0	-0.729189347	-0.838191878	-0.712875173	0	-0.893993376	0	-0.772592465	-0.898331205	-0.877097726	-0.839774418	0	-0.905848621	0	-0.727804496	-0.817380434	-0.742733819	-0.851053019	-0.860744126	-0.89949171	-0.735269157	-0.817380434	-0.727804496
HN6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.70829719	0	-0.76880499	0	0	0	0	-0.797279249	0	-0.779482837	0	-0.804397814	-0.857787049	0	0	0	0	0	0	-0.786601402	-0.797279249	0	-0.730931856	0	0	-0.886261308	-0.718975037	-0.734497377	0	0	0	0	0	-0.718975037	0	-0.939650543	-0.697619343	0	-0.706677953	-0.761686425	-0.693845043	0	0	-0.882702026	-0.741978379	-0.881771407	0	0	0	-0.804397814	0	0	0	0	-0.740330731	-0.722534319	0	-0.727640633	-0.818634943	0	-0.832872073	0	0	-0.709718449	-0.825753508	0	0	0	0	0	0	-0.761686425	-0.76880499	0	0	-0.743890014	-0.729652884	-0.715415755	-0.699275362	-0.69896514	0	0	0	-0.800838531
HN7	0	0	0	0	0	0	0	0	0	0	-0.820814823	0	-0.754118335	-0.797625162	-0.846238291	-0.70336037	-0.870136541	-0.920894505	-0.797625162	-0.826629714	-0.783122887	-0.783122887	-0.754118335	-0.746867197	0	-0.848383127	-0.90639223	-0.846238291	-0.790374024	-0.848383127	-0.797625162	-0.788657393	-0.790374024	-0.868983609	-0.775871749	0	-0.70336037	-0.783122887	-0.848383127	-0.907980999	0	-0.730238327	-0.768620611	-0.783122887	-0.868029835	0	0	-0.817182899	-0.773599811	-0.790374024	-0.891889954	-0.744544419	-0.761369473	-0.710611508	0	-0.870772769	-0.761369473	-0.857142857	-0.876285992	-0.739616059	-0.746867197	-0.861681225	-0.847076459	0	-0.8048763	-0.855634265	-0.696109232	-0.775871749	-0.933404467	0	-0.819378576	-0.797625162	0	-0.834586466	-0.898193142	0	-0.737280571	-0.826629714	0	0	-0.890890758	-0.826629714	-0.739616059	-0.857142857	-0.70336037	-0.8048763	-0.832471692	-0.90639223	-0.761369473	0	-0.774052626	0	-0.8048763	-0.8048763	-0.884638816	-0.826708987	-0.825169309	-0.928145643	-0.746867197	-0.710611508	-0.8048763
HN8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.79020979	0	0	0	0	0	-0.704029101	0	0	0	0	-0.748251748	0	0	0	0	0	0	0	-0.788751953	0	0	0	0	0	0	-0.739055424	0	0	0	0	0	0	0	0	-0.706293706	0	0	-0.734265734	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.710611508	0	0	0	0	0	0	0	0	0	-0.710611508	0	0	0	0	0	0	0	0	-0.699300699	0	0	0	0	0	0	0	0
HN9	0	0	0	0	0	0	0	0	0	0	0	-0.740751109	0	0	0	0	0	-0.795794381	0	-0.816921666	-0.704242815	0	-0.767624669	-0.753539812	0	0	-0.732412528	-0.723114178	0	0	-0.697200387	0	-0.732412528	0	0	0	0	-0.732412528	0	-0.754860654	-0.75177305	0	0	0	-0.701949861	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.773049645	-0.767624669	0	-0.709219858	0	0	0	-0.697200387	-0.795794381	0	-0.709004633	0	0	0	-0.767624669	-0.781355009	0	0	-0.807771448	-0.802836809	0	0	0	-0.809879237	0	0	-0.795794381	0	0	0	0	0	0	-0.753539812	-0.901430803	-0.76058224	-0.704242815	-0.774238309	0	0	0	0	0
HN12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.839990637	0	0	0	-0.697619343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.704737908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.704737908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
