	NPK1	NPK2	NPK3	NPK4	NPK5	NPK6	NPKM1	NPKM2	NPKM3	NPKM4	NPKM5	NPKM6
BF1	9.607826087	24.15652174	0	0	17.27739131	14.22782609	60.34086957	90.3269565	83.13608696	29.45826087	68.22869565	67.18391305
BF2	55.75434783	50.41086957	70.6826087	50.78956522	63.17217392	55.20521739	80.2573913	88.8452174	120.8382609	81.1652174	89.7304348	99.82391305
BF3	9.61173913	8.052173915	10.43869565	17.67608696	0	16.18782609	51.62608696	41.07826087	27.95	42.02434783	48.44782609	47.71652174
BF4	9.607826087	6.334782609	16.71304348	0	17.81826087	0	72.27652174	20.29217392	26.26086957	37.69826087	48.44782609	54.20565218
BF5	51.88304348	45.52608696	56.30217392	52.66086957	46.16521739	52.1026087	69.86086957	83.14434783	92.36565218	96.2026087	101.1947826	57.54739131
BF6	7.68	0	0	0	0	0	26.21565218	45.90434783	36.46565218	29.45826087	27.23391305	71.57478261
BF7	7.69173913	15.30217392	14.60304348	19.04608696	15.38739131	24.15478261	20.65043479	35.26434783	67.34130435	8.446086957	21.21391305	23.85826087
BF8	0	0	25.04173913	11.32739131	0	22.19478261	19.84521739	20.78608696	55.18608696	8.446086957	27.23391305	29.29826087
BF9	17.29565218	1.717391305	6.218695652	0	9.179565218	0	25.41043479	36.74608696	12.15521739	33.99043479	15.19391305	36.83652174
BF10	0	0	0	0	0	0	26.21565218	25.61217392	12.15521739	4.12	27.23391305	35.78739131
BF11	15.36782609	0	0	0	0	9.926956522	41.30086957	0	47.64565218	33.99043479	37.84086957	46.66739131
FF1	43.8125	16.5	32.64732143	20.05357143	20.98214286	27.29910715	53.10714286	50.875	82.08482145	36.14285715	40.11607143	36.67857143
FF2	0	14.59821429	8.763392855	14.29017857	7.366071429	18.05357143	15.67857143	21.17857143	36.22321429	11.05357143	19.83035715	0
FF3	22.6875	16.875	41.58928572	28.8125	16.42857143	33.14732143	53.35714286	37.71428572	57.67857143	30.17857143	34.13392857	27.75
FF4	0	7.526785715	0	1.84375	7.366071429	0	21.17857143	10.58928572	0	22.10714286	14.75892857	27.64285715
FF5	0	0	0	0	3.857142857	0	10.17857143	14.46428572	14.14732143	58.66071429	14.75892857	18.39285715
FF6	0	0	0	0	0	0	0	21.17857143	20.36607143	9.357142855	24.90178572	27.53571429
OP1	0	0	3.4375	0	0	11.26442308	26.3125	12.41826923	6.96875	0	0	25.51923077
OP2	8.201923077	0	6.94951923	3.807692308	13.0625	3.754807693	13.15625	12.41826923	16.43028846	47.59134616	19.70913462	12.75961539
OP3	14.87259615	3.560096154	19.12980769	16.05769231	5.6875	0	13.15625	17.60576923	46.79807693	18.85336539	16.1875	31.39423077
OP4	16.50961539	5.466346154	0	0	19.8125	22.89903846	0	19.64903846	28.38461539	55.64423077	0	18.63461539
OP5	0	0	0	0	0	9.572115385	8.5	10.375	0	0	0	6.884615385
OP6	0	22.76201923	31.98317308	21.13461539	5.375	7.509615385	26.3125	32.06730769	23.39903846	27.82211539	55.60576923	30.38461539
OP7	0	10.93269231	0	0	9.0625	0	27.125	22.79326923	39.82932693	8.96875	47.51201923	6.884615385
OP8	0	0	0	0	0	0	4.65625	21.69230769	16.43028846	57.47596154	31.32451923	6.884615385
OP9	11.91586539	9.278846154	0	0	0	0	26.3125	5.1875	16.43028846	55.64423077	62.64903846	18.63461539
OP10	0	0	0	0	0	0	39.46875	22.79326923	39.82932693	0	47.51201923	25.51923077
HN1	3.296282713	4.443946667	2.4265152	4.133723301	2.509624786	5.083678118	0.974559086	0.970014934	1.466556737	1.319151909	0.303755637	1.7959552
HN2	7.529231583	7.702314667	16.6584384	19.41972229	8.887978125	18.29396078	3.071706515	4.383930819	6.37768327	6.744040595	5.526600146	5.583871508
HN3	14.93344612	8.864213334	8.125344	6.198452632	13.90292341	14.89627391	8.358482745	10.09045242	8.536338406	4.748293852	10.77930909	8.168317046
HN4	6.051145461	5.460608	2.2150656	1.232281959	2.731120408	1.613186845	0.295342629	0	0.362658636	1.3618176	1.002028509	0.833453785
HN5	2.185874922	2.806869334	2.3124096	1.912293326	3.818735011	1.613186845	0	0	0	0	0	0
HN6	2.879879792	3.855104	1.8727488	4.723036733	0.34300416	2.016483556	0	0.5402592	0.658879526	0	0	0
HN7	2.602277844	4.008234667	0.6511104	1.129236409	2.965528902	2.077153883	0.0885312	0	0	0	0	0
HN8	5.697251061	1.790208	2.96352	2.130732039	2.108018502	5.291393506	0.812013257	0.493338362	1.664495491	2.385337783	1.791647128	0.4282112
HN9	2.324675896	1.597610667	0.5537664	1.116888795	1.706412218	4.863828664	0	0.537194667	0.604431059	0	0.6072192	0
HN10	1.0616832	2.814762667	0	0	5.245049484	1.613186845	0.2655936	0.694618972	0	0.288171155	0	0.1070528
HN11	0	0	4.3311744	1.450720671	0	2.700300047	0.72384	0.6446336	0.241772424	0	0.759024	0.192110769
HN12	0.7077888	1.016661334	0.5537664	1.013843245	0	1.038576941	0	0	0.411799704	0.33619968	0.182253382	0
HN13	0	0	1.3022208	0.461572655	1.37201664	0	0.1770624	0.107438934	0	0	0.303755637	0
