	BF1	BF2	BF3	BF4	BF5	BF6	BF7	BF8	BF9	BF10	BF11	FF1	FF2	FF3	FF4	FF5	FF6	OP1	OP2	OP3	OP4	OP5	OP6	OP7	OP8	OP9	OP10	HN1	HN2	HN3	HN4	HN5	HN6	HN7	HN8	HN9	HN10	HN11	HN12	HN13
BF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.739055424096955	-0.847637026689399	0	-0.732050159413572	-0.74403571968238	0	-0.70096133133197	-0.777584379855564	0	0	0	0	0
BF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.804195804195804	-0.713286713286713	0	0	-0.772592464899468	-0.740330731205893	-0.891889954088806	0	0	0	0	0	0
BF3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.755244755244755	-0.727272727272727	0	-0.811188811188811	-0.921885694831732	-0.704737907590225	-0.826629713545723	0	-0.739454955964199	0	0	0	0
BF4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.840631762006015	-0.858144923714474	0	0	-0.702908117086871	-0.923470003405871	-0.708225179325048	0	-0.783079744201237	0	0	-0.820069887194403	0
BF5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.86013986013986	0	0	-0.727272727272727	-0.877097725852053	0	-0.942647918955649	0	0	0	0	0	0
BF6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.725113783812037	-0.797625162193241	0	-0.703360370297676	-0.847552161490368	0	-0.857142857142857	0	0	0	0	0	0
BF7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.748251748251748	0	0	0	0	0	0	0	0	0
BF8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.715633560078455	0	0	-0.702549576244922	0	0	0
BF9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.721542262388497	-0.823118600297557	0	0	0	-0.73093185597762	0	0	-0.712532019498423	0	0	-0.766587068464333	0
BF10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.809915772382534	-0.86963306435544	0	-0.791254118641001	-0.860557768924303	-0.794062861304871	-0.824331554326248	-0.750198480409628	-0.7179132226993	0	0	-0.704778281205998	0
BF11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.723708923281729	0	0	0	0	0	0	0	0
FF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.706293706293706	-0.783216783216783	0	0	-0.716607503674869	0	0	0	0	0	0	0	0
FF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FF3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FF4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.739130434782609	0	0	-0.702549576244922	0	0	0	0
FF5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.790374024355121	-0.710611508135797	0	0	-0.777890339998009	-0.863615638598809	-0.834586466165414	0	-0.715633560078455	0	0	-0.712298368587907	0
FF6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.749155075774921	0	-0.849013426647072	0	0	0	0	0	0
OP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.804195804195804	0	0	0	0	-0.829312790245063	0	0	0	0	0	0	0
OP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.783122886517	0	0	-0.715415754674926	0	0	0
OP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OP6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.769230769230769	0	0	0	0	0	-0.76862061084076	0	-0.711285243356039	0	0	0	0
OP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.704737907590225	-0.747449295929027	0	0	0	0	0	0	0	0	0	0	0
OP8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.854703741362213	-0.735269157416402	0	0	-0.860557768924303	-0.733273359960957	-0.893993375818607	0	0	0	0	0	0
OP9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.761686425375294	0	0	-0.706677953122995	0	0	0	0	0	0	0	0
OP10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.74860770737679	-0.79539568908784	0	-0.764203701280474	-0.749155075774921	0	-0.703468267793288	0	0	0	0	0	0
HN1	-0.739055424096955	-0.804195804195804	-0.755244755244755	-0.840631762006015	-0.86013986013986	-0.725113783812037	0	0	-0.721542262388497	-0.809915772382534	0	-0.706293706293706	0	0	0	-0.790374024355121	0	0	-0.804195804195804	0	0	0	-0.769230769230769	-0.704737907590225	-0.854703741362213	0	-0.74860770737679	0	0	0	0	0	0	0	0	0	0	0	0	0
HN2	-0.847637026689399	-0.713286713286713	-0.727272727272727	-0.858144923714474	0	-0.797625162193241	0	0	-0.823118600297557	-0.86963306435544	0	-0.783216783216783	0	0	0	-0.710611508135797	0	0	0	0	0	0	0	-0.747449295929027	-0.735269157416402	-0.761686425375294	-0.79539568908784	0	0	0	0	0	0	0	0	0	0	0	0	0
HN3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HN4	-0.732050159413572	0	-0.811188811188811	0	-0.727272727272727	-0.703360370297676	-0.748251748251748	0	0	-0.791254118641001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.764203701280474	0	0	0	0	0	0	0	0	0	0	0	0	0
HN5	-0.74403571968238	-0.772592464899468	-0.921885694831732	-0.702908117086871	-0.877097725852053	-0.847552161490368	0	0	0	-0.860557768924303	-0.723708923281729	-0.716607503674869	0	0	0	-0.777890339998009	-0.749155075774921	0	0	0	0	0	0	0	-0.860557768924303	-0.706677953122995	-0.749155075774921	0	0	0	0	0	0	0	0	0	0	0	0	0
HN6	0	-0.740330731205893	-0.704737907590225	-0.923470003405871	0	0	0	0	-0.73093185597762	-0.794062861304871	0	0	0	0	-0.739130434782609	-0.863615638598809	0	0	-0.829312790245063	0	0	0	0	0	-0.733273359960957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HN7	-0.70096133133197	-0.891889954088806	-0.826629713545723	-0.708225179325048	-0.942647918955649	-0.857142857142857	0	-0.715633560078455	0	-0.824331554326248	0	0	0	0	0	-0.834586466165414	-0.849013426647072	0	0	-0.783122886517	0	0	-0.76862061084076	0	-0.893993375818607	0	-0.703468267793288	0	0	0	0	0	0	0	0	0	0	0	0	0
HN8	-0.777584379855564	0	0	0	0	0	0	0	0	-0.750198480409628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HN9	0	0	-0.739454955964199	-0.783079744201237	0	0	0	0	-0.712532019498423	-0.7179132226993	0	0	0	0	-0.702549576244922	-0.715633560078455	0	0	0	0	0	0	-0.711285243356039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HN10	0	0	0	0	0	0	0	-0.702549576244922	0	0	0	0	0	0	0	0	0	0	0	-0.715415754674926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HN11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HN12	0	0	0	-0.820069887194403	0	0	0	0	-0.766587068464333	-0.704778281205998	0	0	0	0	0	-0.712298368587907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HN13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
