"","BF1","BF2","BF3","BF4","BF5","BF6","BF7","BF8","BF9","BF10","BF11","FF1","FF2","FF3","FF4","FF5","FF6","OP1","OP2","OP3","OP4","OP5","OP6","OP7","OP8","OP9","OP10","HN1","HN2","HN3","HN4","HN5","HN6","HN7","HN8","HN9","HN10","HN11","HN12","HN13"
"BF1",NA,0.00291017231286128,0.0381594755494201,0.0124713902549702,0.022685763799563,0.000879476271606894,0.0207937091260826,0.133779131071203,0.0228586394505974,0.00112466506545639,0.0761529659606186,0.022685763799563,0.0502676484865838,0.211642967220043,0.0864810273939556,0.00339632301489745,0.00191836261730693,0.173338736633037,0.045739074410112,0.216146759539985,0.33827984351054,0.235211620153335,0.0580535496581409,0.000738929677497335,0.00162776850541713,0.033951975604811,0.00159927414096828,0.00602781559390309,0.000497797379436005,0.871178309361983,0.00679293000750536,0.0055246841273795,0.033951975604811,0.0110981195704958,0.00291017231286128,0.0999236110457016,0.724032148281033,0.526392501667603,0.0366862590479391,0.377334701812494
"BF2",0.00291017231286128,NA,0.0184527180284455,0.00143474036993663,0.00136331525272704,0.000232966669146295,0.0899137363026392,0.00758832663689146,0.0106012347396098,0.000782323842682953,0.0107081099203516,0.005124081698753,0.383939601453497,0.0708943175492232,0.212705541699813,0.000914801334335191,0.000462569507139632,0.159765804068651,0.00344645026182744,0.00258621483336263,0.414750944005351,0.623610043128991,0.0240031912007137,0.0551083692422656,0.00168271074538762,0.0371059472208219,0.00198009045878722,0.00161476898606994,0.00920177977763492,0.571701238527655,0.0125930304960939,0.00322232531318511,0.00589582225186214,9.67559259881234e-05,0.0585894753885676,0.0227090706649031,0.0991847058975841,0.982482840704511,0.0173259907544145,0.720285494195845
"BF3",0.0381594755494201,0.0184527180284455,NA,0.00312665637392051,0.00078544167785366,0.0119190491084002,0.182563978573167,0.0603000255410739,0.0395980557151432,0.000132600665865956,0.017797655806286,0.0415214944103186,0.269479388463033,0.0512655897864915,0.0198991350471891,0.00856333307795731,0.0275846410585139,0.0920584027567526,0.0358059970520292,0.174519008130059,0.683288954948474,0.203497765946233,0.0184527180284455,0.12327701826213,0.00373581946725876,0.00666123191063095,0.00509129248534945,0.00450843548429436,0.00735502885780503,0.226206044935027,0.00136331525272704,2.00681087494381e-05,0.0104888226079631,0.000914801334335191,0.0848687711339349,0.00598622757340062,0.0650221113641141,0.414750944005351,0.0964144038512968,0.746527481740289
"BF4",0.0124713902549702,0.00143474036993663,0.00312665637392051,NA,0.0130122431840831,0.00583633816459983,0.483665965701008,0.190769914271444,0.00193146031116909,0.000124266786498684,0.0110981195704958,0.0217247350674117,0.811534113841195,0.225326753392867,0.00848350671817633,0.000879476271606894,0.0272307363614295,0.160959986159421,0.00120515436563218,0.108442821951915,0.978066011422913,0.572822428785186,0.0425901828134518,0.0266254740605585,0.00629272775947443,0.00215845775866863,0.00497178565758727,0.000615568644065423,0.000354759007349159,0.422481142333308,0.0327760380837607,0.0107808407379126,1.8163246031877e-05,0.00994862592259027,0.0291128808659877,0.00259375439870624,0.323537251205332,0.618389514029724,0.00108864315518664,0.958610526786988
"BF5",0.022685763799563,0.00136331525272704,0.00078544167785366,0.0130122431840831,NA,0.00856333307795731,0.226206044935027,0.0316024069608489,0.0725074830303383,0.00494668966222322,0.0480124920180502,0.0240031912007137,0.111389816475383,0.0139059688143628,0.170047749698329,0.00259137900392559,0.00760774562980826,0.44023265452102,0.00299286368018592,0.020185498509854,0.749558052467047,0.737905308700649,0.005124081698753,0.0693117958616023,3.12688955750318e-05,0.015005825301196,0.0109573791660211,0.000331668339126789,0.0283196712957601,0.235621003512646,0.00735502885780503,0.000179040082668891,0.0190123479526099,4.43633524405129e-06,0.286122902914987,0.0173521925054074,0.0237505273435801,0.483533181858673,0.150914722853939,0.890073873129706
"BF6",0.000879476271606894,0.000232966669146295,0.0119190491084002,0.00583633816459983,0.00856333307795731,NA,0.135449958267465,0.0894164580759971,0.000220191240836165,0.000389926980472133,0.0191037458193373,0.00675706454256231,0.511071741102255,0.267575665928552,0.0618530900971037,0.00046781343482083,0.00015121522083561,0.135594499677206,0.0302549487275088,0.0146417460736652,0.308849387082903,0.291465727393422,0.0591963616643501,0.117672386294878,0.000787557730744126,0.0167481663496947,0.0135240609301794,0.00762017432721263,0.00188209431876141,0.588558895607686,0.0107081099203516,0.000499110360584254,0.0265842962040879,0.000366819362021431,0.0255651095644083,0.0151507528072401,0.339008019960476,0.481741273102281,0.0328204943989332,0.18991843120151
"BF7",0.0207937091260826,0.0899137363026392,0.182563978573167,0.483665965701008,0.226206044935027,0.135449958267465,NA,0.0105672471479119,0.761715327826085,0.0839445199643003,0.267575665928552,0.1908358740045,0.0111699289259677,0.100602631832255,0.89514518784014,0.335809900998261,0.0813932090901992,0.0290927274117414,0.729194990751066,0.512840943181826,0.490683003968952,0.0449670347941824,0.342259528940025,0.136643631906577,0.280090994826263,0.930002325688059,0.0207833797307009,0.378568669662303,0.26523878689279,0.680597508286082,0.005124081698753,0.0604313169559827,0.549541121562551,0.109312091500227,0.0385884529220193,0.678446686329941,0.469377770966427,0.246088522883556,0.448512777972926,0.711597900791944
"BF8",0.133779131071203,0.00758832663689146,0.0603000255410739,0.190769914271444,0.0316024069608489,0.0894164580759971,0.0105672471479119,NA,0.575840898995111,0.0385906288794011,0.0570451631246289,0.121455142891161,0.174316570048817,0.0143389984337259,0.93830428107478,0.213906405041002,0.0261778016040195,0.0582573725728013,0.387622850591306,0.0227090706649031,0.98235905989162,0.414855416253414,0.0397412805491411,0.404725822688667,0.16459336867259,0.459122877598304,0.0128178018799656,0.187417731783863,0.33868990778029,0.539026720193219,0.0291780677812605,0.0327888320797072,0.278767376082498,0.00887006070744434,0.222673422334491,0.219149561180412,0.0108387612567569,0.0587367857709606,0.561898391224042,0.80735578845768
"BF9",0.0228586394505974,0.0106012347396098,0.0395980557151432,0.00193146031116909,0.0725074830303383,0.000220191240836165,0.761715327826085,0.575840898995111,NA,0.00420256329164803,0.0997561994509619,0.0217247350674117,0.703774981402838,0.664075769442981,0.015127920464673,0.00214824597638241,0.016725361539047,0.199842670417755,0.0340673316633562,0.0971737747799288,0.53756088223732,0.292768947732208,0.114389357710045,0.27081548841128,0.0113962685952669,0.0205168348107736,0.11730678208625,0.00807443795290608,0.00100494678387464,0.688103943860458,0.0999138724178623,0.0219757883552045,0.00692151161281918,0.0201763910349619,0.0770523903726765,0.00931039379146048,0.847240143366699,0.211835142312932,0.00363086899362708,0.42169164406924
"BF10",0.00112466506545639,0.000782323842682953,0.000132600665865956,0.000124266786498684,0.00494668966222322,0.000389926980472133,0.0839445199643003,0.0385906288794011,0.00420256329164803,NA,0.0111762454613689,0.0222873932929497,0.37402680737269,0.176293350136882,0.00879463304836348,0.000787557730744126,0.000780466125283485,0.0738103444256326,0.0233316334574338,0.0948763124839902,0.925292478907874,0.217621294150683,0.011603191095138,0.0266794684479263,0.00209770795109421,0.00443970665690152,0.000201565188467256,0.00140668142760703,0.000237308308238982,0.553468309320206,0.00217245087237727,0.000326983014522053,0.00204051104779013,0.000973064291516668,0.00494668966222322,0.00855646686519318,0.18521040299786,0.957941629407001,0.0104824464175799,0.652034608414551
