genus	NPK1	NPK2	NPK3	NPK4	NPK5	NPK6	NPKM1	NPKM2	NPKM3	NPKM4	NPKM5	NPKM6
P1	19.87369658	22.05889264	21.8787634	13.100492	13.8279483	20.55103539	98.27768395	243.0180643	171.5192392	110.7034807	165.1528125	116.4936114
P2	0	0	2.430973711	6.113562931	0.813408724	6.850345131	10.77015714	47.96409164	33.63122338	9.767954178	31.83668674	14.97775004
P3	43.47371126	57.51068439	64.82596563	76.85621971	64.25928918	106.1803495	8.077617859	20.78443971	8.407805845	16.27992363	15.91834337	18.30613893
P4	0	0	0	0	0	0	2.692539286	33.57486415	8.407805845	8.139961815	17.90813629	11.64936114
P7	0	0.787817594	1.620649141	6.113562931	4.880452342	0	20.19404465	15.98803055	11.77092818	17.90791599	37.8060655	16.64194449
P8	0.621053018	1.575635189	2.430973711	1.746732266	0	0.856293141	22.88658393	6.395212219	21.8602952	13.0239389	25.86730797	8.320972243
P9	60.86319577	51.99596123	30.79233368	89.08334557	90.28836834	61.65310618	52.50451608	81.53895579	53.80995741	73.25965634	125.356954	84.87391687
P11	0	0	0	0	0	0	1024.511198	746.6410266	1178.774379	2725.259216	1088.416728	1477.80467
P13	0	0	0	0	0	0	6.731348216	7.994015274	5.044683507	4.883977089	11.93875753	6.656777794
P16	0	0	0	0.873366133	0	0	5.385078572	6.395212219	8.407805845	3.255984726	1.989792921	1.664194449
P18	6.831583199	3.939087972	2.430973711	10.4803936	17.89499192	6.850345131	8.077617859	4.796409164	0	3.255984726	13.92855045	1.664194449
P20	0.621053018	0.787817594	0	0	0	1.712586283	20.19404465	38.37127331	8.407805845	8.139961815	11.93875753	23.29872228
P21	0.621053018	0.787817594	0	0.873366133	4.067043619	3.425172566	0	9.592818329	0	0	0	1.664194449
P23	0	0	0	0	0	0	20.19404465	1.598803055	18.49717286	21.16390072	7.959171685	19.97033338
P24	0	3.151270377	1.620649141	3.493464532	4.067043619	3.425172566	0	0	0	0	3.979585842	3.328388897
P25	0	0	0	0.873366133	0	0.856293141	16.15523572	38.37127331	15.13405052	0	3.979585842	8.320972243
P26	25.46317374	31.51270377	22.68908797	68.99592451	34.97657512	27.40138053	2.692539286	7.994015274	6.726244676	11.39594654	1.989792921	1.664194449
P27	39.12634014	29.93706859	33.22330739	30.56781466	43.11066236	25.68879424	98.27768395	108.7186077	114.3461595	133.4953738	198.9792921	133.1355559
P28	0	0	0	1.746732266	0	0	8.077617859	4.796409164	5.044683507	3.255984726	9.948964606	4.992583346
P29	13.04211338	14.1807167	3.241298282	2.620098399	0.813408724	23.11991482	47.11943751	17.5868336	53.80995741	39.07181671	15.91834337	34.94808342
P30	19.25264356	17.33198708	42.94720223	11.35375973	23.58885299	23.11991482	86.16125716	134.2994566	171.5192392	86.28359524	143.2650903	123.1503892
P31	4.968424145	1.575635189	6.482596563	5.240196798	4.067043619	9.419224556	188.47775	151.8862902	178.2454839	156.2872669	242.7547364	201.3675283
P32	719.1793949	1510.246328	1305.432883	1059.393119	841.0646204	1048.102805	78.0836393	118.3114261	147.9773829	83.02761052	198.9792921	89.86650022
P33	9.936848289	3.939087972	0.81032457	14.84722426	10.57431341	5.137758849	9.423887502	3.19760611	5.044683507	4.883977089	1.989792921	9.985166691
P34	1.242106036	5.514723161	4.051622852	4.366830665	13.8279483	8.562931414	1.346269643	3.19760611	1.681561169	4.883977089	3.979585842	0
