source	target	weight	correlation
P1	HN1	0.762237762	-0.762237762
P1	HN2	0.797202797	-0.797202797
P1	HN4	0.706293706	-0.706293706
P1	HN5	0.780057126	-0.780057126
P1	HN7	0.812127438	-0.812127438
P1	HN8	0.664335664	-0.664335664
P2	HN1	0.756568586	-0.756568586
P2	HN2	0.676008042	-0.676008042
P2	HN4	0.928197571	-0.928197571
P2	HN5	0.893590638	-0.893590638
P2	HN7	0.900717151	-0.900717151
P4	HN1	0.854703741	-0.854703741
P4	HN2	0.824845095	-0.824845095
P4	HN4	0.79871878	-0.79871878
P4	HN5	0.860557769	-0.860557769
P4	HN6	0.680082546	-0.680082546
P4	HN7	0.893993376	-0.893993376
P4	HN8	0.690481188	-0.690481188
P7	HN1	0.872155453	-0.872155453
P7	HN2	0.735552792	-0.735552792
P7	HN4	0.735552792	-0.735552792
P7	HN5	0.766468957	-0.766468957
P7	HN6	0.816504366	-0.816504366
P7	HN7	0.780863659	-0.780863659
P7	HN9	0.772497585	-0.772497585
P7	HN12	0.705973207	-0.705973207
P8	HN1	0.811188811	-0.811188811
P8	HN2	0.713286713	-0.713286713
P8	HN4	0.748251748	-0.748251748
P8	HN5	0.839774418	-0.839774418
P8	HN7	0.833880851	-0.833880851
P8	HN9	0.739454956	-0.739454956
P8	HN10	0.679822931	-0.679822931
P11	HN1	0.720339834	-0.720339834
P11	HN2	0.690481188	-0.690481188
P11	HN5	0.860557769	-0.860557769
P11	HN6	0.778865486	-0.778865486
P11	HN7	0.870772769	-0.870772769
P11	HN9	0.763017718	-0.763017718
P13	HN1	0.906956372	-0.906956372
P13	HN2	0.906956372	-0.906956372
P13	HN4	0.828577426	-0.828577426
P13	HN5	0.860557769	-0.860557769
P13	HN6	0.740872048	-0.740872048
P13	HN7	0.824331554	-0.824331554
P13	HN8	0.69794585	-0.69794585
P13	HN12	0.685781562	-0.685781562
P16	HN1	0.783122887	-0.783122887
P16	HN2	0.739616059	-0.739616059
P16	HN4	0.891889954	-0.891889954
P16	HN5	0.870772769	-0.870772769
P16	HN7	0.834586466	-0.834586466
P16	HN9	0.686424027	-0.686424027
P20	HN1	0.683115531	-0.683115531
P20	HN2	0.873261091	-0.873261091
P20	HN4	0.788751953	-0.788751953
P20	HN5	0.860744126	-0.860744126
P20	HN7	0.730238327	-0.730238327
P20	HN8	0.732412528	-0.732412528
P23	HN1	0.742733819	-0.742733819
P23	HN2	0.757663142	-0.757663142
P23	HN4	0.679284196	-0.679284196
P23	HN5	0.860557769	-0.860557769
P23	HN6	0.81305958	-0.81305958
P23	HN7	0.801110947	-0.801110947
P23	HN9	0.830674462	-0.830674462
P25	HN2	0.667104681	-0.667104681
P25	HN4	0.942647919	-0.942647919
P25	HN5	0.754669733	-0.754669733
P25	HN8	0.739616059	-0.739616059
P27	HN1	0.867132867	-0.867132867
P27	HN2	0.734265734	-0.734265734
P27	HN5	0.727804496	-0.727804496
P27	HN6	0.832872073	-0.832872073
P27	HN7	0.826629714	-0.826629714
P27	HN12	0.70829719	-0.70829719
P28	HN1	0.819378576	-0.819378576
P28	HN2	0.790374024	-0.790374024
P28	HN4	0.841131989	-0.841131989
P28	HN5	0.870772769	-0.870772769
P28	HN6	0.668010387	-0.668010387
P28	HN7	0.812030075	-0.812030075
P29	HN5	0.817380434	-0.817380434
P30	HN1	0.839160839	-0.839160839
P30	HN2	0.734265734	-0.734265734
P30	HN4	0.699300699	-0.699300699
