source,target,weight,correlation,col
B2,B3,0.930780699,0.930780699,1
B2,B9,0.698346551,0.698346551,1
B2,B10,0.677015727,0.677015727,1
B2,B11,0.666643779,0.666643779,1
B2,B12,0.626096071,0.626096071,1
B2,B14,0.766144129,0.766144129,1
B2,B16,0.733792386,0.733792386,1
B2,B19,0.788284335,-0.788284335,-1
B2,B25,0.874912532,-0.874912532,-1
B2,B26,0.685341531,-0.685341531,-1
B2,B28,0.717664588,0.717664588,1
B2,B31,0.778852179,-0.778852179,-1
B2,B33,0.809860513,-0.809860513,-1
B2,B37,0.779433759,-0.779433759,-1
B2,B38,0.745970057,-0.745970057,-1
B2,B48,0.70091075,-0.70091075,-1
B2,B53,0.801622404,-0.801622404,-1
B2,B56,0.778496327,-0.778496327,-1
B2,B65,0.694931395,-0.694931395,-1
B2,B67,0.775154392,-0.775154392,-1
B2,B68,0.892897768,-0.892897768,-1
B2,B70,0.73232631,-0.73232631,-1
B2,B72,0.761874534,-0.761874534,-1
B2,B79,0.756451081,-0.756451081,-1
B2,B80,0.712232435,-0.712232435,-1
B2,B81,0.849747772,0.849747772,1
B2,B84,0.734709628,-0.734709628,-1
B2,B86,0.673003132,-0.673003132,-1
B2,B87,0.759681013,-0.759681013,-1
B2,B101,0.716195915,0.716195915,1
B2,B106,0.851343237,-0.851343237,-1
B2,B114,0.722348101,-0.722348101,-1
B2,B118,0.702053426,0.702053426,1
B2,B123,0.714093484,-0.714093484,-1
B2,B124,0.808918749,-0.808918749,-1
B2,B126,0.787547466,-0.787547466,-1
B2,B131,0.685341531,0.685341531,1
B2,B132,0.630115597,-0.630115597,-1
B2,B140,0.691450125,-0.691450125,-1
B2,B143,0.739868552,-0.739868552,-1
B2,B146,0.757366906,-0.757366906,-1
B2,B149,0.74645904,0.74645904,1
B2,B152,0.842341926,-0.842341926,-1
B2,B155,0.826438214,-0.826438214,-1
B2,B158,0.823158023,-0.823158023,-1
B2,B163,0.780035878,-0.780035878,-1
B2,B171,0.818705934,0.818705934,1
B2,B175,0.79101873,-0.79101873,-1
B2,B179,0.818781099,0.818781099,1
B2,B181,0.760276974,-0.760276974,-1
B2,B184,0.774308493,-0.774308493,-1
B2,B196,0.714288603,-0.714288603,-1
B2,B201,0.842019398,-0.842019398,-1
B2,B203,0.819350646,-0.819350646,-1
B2,B205,0.7344313,0.7344313,1
B2,B206,0.872413023,0.872413023,1
B2,B209,0.733204138,-0.733204138,-1
B2,B210,0.772246638,-0.772246638,-1
B2,B211,0.802371851,-0.802371851,-1
B2,B212,0.742901419,-0.742901419,-1
B2,B223,0.914406744,0.914406744,1
B2,B225,0.723055798,-0.723055798,-1
B2,B228,0.813388512,-0.813388512,-1
B2,B233,0.807037043,-0.807037043,-1
B2,B235,0.737654476,-0.737654476,-1
B2,B236,0.802754515,-0.802754515,-1
B2,B241,0.861141764,0.861141764,1
B2,B243,0.748087088,-0.748087088,-1
B2,B244,0.812372472,-0.812372472,-1
B2,B247,0.889723268,-0.889723268,-1
B2,B254,0.769052603,0.769052603,1
B2,B257,0.746397221,0.746397221,1
B2,B261,0.884866702,-0.884866702,-1
B2,B265,0.861853455,-0.861853455,-1
B2,B273,0.792447291,0.792447291,1
B2,B278,0.822280383,-0.822280383,-1
B2,B280,0.780624582,-0.780624582,-1
B2,B281,0.782689107,-0.782689107,-1
B2,B284,0.660941003,-0.660941003,-1
B2,B285,0.839672252,0.839672252,1
B2,B291,0.932730613,0.932730613,1
B2,B292,0.816777299,-0.816777299,-1
B2,B293,0.826967489,-0.826967489,-1
B2,B295,0.735177175,-0.735177175,-1
B2,B298,0.759581882,-0.759581882,-1
B2,B299,0.697829631,-0.697829631,-1
B2,B300,0.858593664,0.858593664,1
B2,B301,0.840754175,0.840754175,1
B2,B305,0.776566652,-0.776566652,-1
B2,B311,0.640809824,-0.640809824,-1
B2,B323,0.850166179,-0.850166179,-1
B2,B325,0.71555045,-0.71555045,-1
B2,B326,0.738281937,-0.738281937,-1
B2,B329,0.8440359,-0.8440359,-1
B2,B332,0.702594335,-0.702594335,-1
B2,B333,0.72239583,-0.72239583,-1
B2,B336,0.796614807,-0.796614807,-1
B2,B337,0.765303124,-0.765303124,-1
B2,B339,0.858131624,-0.858131624,-1
B2,B349,0.81654486,-0.81654486,-1
B2,B351,0.789799652,-0.789799652,-1
B2,B354,0.879516857,-0.879516857,-1
B2,B357,0.848964875,-0.848964875,-1
B2,B360,0.629566372,-0.629566372,-1
B2,B365,0.757468713,-0.757468713,-1
B2,B366,0.772852798,-0.772852798,-1
B2,B369,0.738781866,-0.738781866,-1
B2,B372,0.773744462,-0.773744462,-1
B2,B376,0.727950856,-0.727950856,-1
B2,B378,0.726765616,-0.726765616,-1
B2,B379,0.708789283,-0.708789283,-1
B2,B384,0.718655778,-0.718655778,-1
B2,B385,0.741254569,0.741254569,1
B2,B388,0.710378606,-0.710378606,-1
B2,B392,0.779910262,-0.779910262,-1
B2,B393,0.804768587,-0.804768587,-1
B2,B394,0.766163072,-0.766163072,-1
B2,B399,0.779482983,-0.779482983,-1
B2,B411,0.790199602,-0.790199602,-1
B2,B418,0.792986746,-0.792986746,-1
B2,B422,0.844701579,-0.844701579,-1
B2,B423,0.792437472,-0.792437472,-1
B2,B429,0.850343028,-0.850343028,-1
B2,B441,0.902823525,-0.902823525,-1
B2,B452,0.750878411,-0.750878411,-1
B2,B455,0.799950748,-0.799950748,-1
B2,B456,0.7559319,-0.7559319,-1
B2,B460,0.618098694,-0.618098694,-1
B2,B465,0.738521675,-0.738521675,-1
B2,B466,0.831322678,-0.831322678,-1
B2,B467,0.739311714,-0.739311714,-1
B2,B468,0.806746561,-0.806746561,-1
B2,B473,0.772363656,-0.772363656,-1
B2,B475,0.772456178,-0.772456178,-1
B2,B479,0.646999002,-0.646999002,-1
B2,B484,0.836164156,-0.836164156,-1
B2,B487,0.750941591,0.750941591,1
B2,B493,0.888954443,-0.888954443,-1
B2,B496,0.80333357,-0.80333357,-1
B2,B510,0.727939053,-0.727939053,-1
B2,B517,0.816897709,0.816897709,1
B2,B519,0.747689637,-0.747689637,-1
B2,B520,0.854370537,-0.854370537,-1
B2,B523,0.721394269,-0.721394269,-1
B2,B532,0.682688988,-0.682688988,-1
B2,B539,0.783234379,0.783234379,1
B2,B541,0.83173244,-0.83173244,-1
B2,B543,0.841349273,-0.841349273,-1
B2,B546,0.713573988,-0.713573988,-1
B2,B549,0.857324657,-0.857324657,-1
B2,B552,0.777154985,-0.777154985,-1
B2,B553,0.776327439,-0.776327439,-1
B2,B554,0.865019464,0.865019464,1
B2,B558,0.834187002,-0.834187002,-1
B2,B560,0.682210032,-0.682210032,-1
B2,B563,0.852410871,-0.852410871,-1
B2,B564,0.814812376,-0.814812376,-1
B2,B573,0.877601879,0.877601879,1
B2,B575,0.800432413,-0.800432413,-1
B2,B581,0.842098818,-0.842098818,-1
B2,B587,0.773976255,-0.773976255,-1
B2,B588,0.607150706,0.607150706,1
B2,B590,0.718505045,-0.718505045,-1
B2,B592,0.829634646,-0.829634646,-1
B2,B596,0.663470616,0.663470616,1
B2,B598,0.726367106,-0.726367106,-1
B2,B600,0.781519747,-0.781519747,-1
B2,B601,0.761801203,-0.761801203,-1
B2,B602,0.837682667,-0.837682667,-1
B2,B603,0.887104683,-0.887104683,-1
B2,B606,0.833158583,0.833158583,1
B2,B609,0.827677114,-0.827677114,-1
B2,B613,0.772807569,-0.772807569,-1
B2,B617,0.741209628,-0.741209628,-1
B2,B621,0.877262444,-0.877262444,-1
B2,B622,0.766298608,-0.766298608,-1
B2,B624,0.650670142,0.650670142,1
B2,B629,0.736300152,-0.736300152,-1
B2,B632,0.855480419,0.855480419,1
B2,B635,0.859530982,-0.859530982,-1
B2,B641,0.794623148,0.794623148,1
B2,B642,0.664913833,-0.664913833,-1
B2,B643,0.77965441,0.77965441,1
B2,B652,0.762713023,-0.762713023,-1
B2,B654,0.673516583,0.673516583,1
B2,B656,0.865396742,-0.865396742,-1
B2,B661,0.811640102,-0.811640102,-1
B2,B662,0.775163219,-0.775163219,-1
B2,B663,0.805467951,-0.805467951,-1
B2,B667,0.658720006,-0.658720006,-1
B2,F9,0.781715872,0.781715872,1
B2,F29,0.645999368,0.645999368,1
B2,F36,0.603906093,-0.603906093,-1
B2,F41,0.632986345,-0.632986345,-1
B2,F56,0.744161972,-0.744161972,-1
B2,F68,0.74377368,-0.74377368,-1
B2,F72,0.734634343,-0.734634343,-1
B2,F78,0.605642098,0.605642098,1
B2,F84,0.760601404,-0.760601404,-1
B2,F87,0.758096293,0.758096293,1
B2,F90,0.601412314,-0.601412314,-1
B2,F91,0.744303886,0.744303886,1
B2,F101,0.78615866,0.78615866,1
B2,F103,0.749782882,0.749782882,1
B2,F104,0.687834913,-0.687834913,-1
B2,F106,0.686930307,-0.686930307,-1
B2,F125,0.723699097,-0.723699097,-1
B2,F139,0.715195708,0.715195708,1
B2,F144,0.694784225,-0.694784225,-1
B2,F149,0.666162611,-0.666162611,-1
B2,F160,0.707148734,-0.707148734,-1
B2,F161,0.726683124,-0.726683124,-1
B2,F163,0.619191726,-0.619191726,-1
B2,F175,0.617561712,-0.617561712,-1
B2,F197,0.780260832,0.780260832,1
B2,F208,0.609983052,-0.609983052,-1
B2,F218,0.621612713,0.621612713,1
B2,F230,0.864355112,-0.864355112,-1
B2,F232,0.614439339,0.614439339,1
B2,F233,0.767269922,0.767269922,1
B2,F249,0.627336562,-0.627336562,-1
B2,F266,0.898872711,0.898872711,1
B2,F268,0.762085884,0.762085884,1
B2,F298,0.846918712,0.846918712,1
B2,F301,0.644062985,0.644062985,1
B2,F307,0.663738016,-0.663738016,-1
B2,F315,0.749523142,-0.749523142,-1
B2,F320,0.702963929,-0.702963929,-1
B2,F321,0.666961821,-0.666961821,-1
B2,F322,0.75171401,-0.75171401,-1
B2,F328,0.828573903,-0.828573903,-1
B2,F332,0.631133414,-0.631133414,-1
B2,F351,0.760248112,-0.760248112,-1
B2,F366,0.726622754,0.726622754,1
B2,F374,0.683131587,-0.683131587,-1
B2,F388,0.642155505,-0.642155505,-1
B2,F399,0.619625177,-0.619625177,-1
B2,F408,0.783630929,-0.783630929,-1
B2,F410,0.820453439,0.820453439,1
B2,F419,0.684166134,-0.684166134,-1
B2,F422,0.751205708,-0.751205708,-1
B2,F429,0.803240594,0.803240594,1
B2,F443,0.748913137,0.748913137,1
B2,A1,0.637952428,-0.637952428,-1
B2,A15,0.763930288,0.763930288,1
B2,A24,0.708394702,0.708394702,1
B2,A25,0.736865456,0.736865456,1
B2,A38,0.692734955,-0.692734955,-1
B2,P1,0.69653211,-0.69653211,-1
B2,P3,0.817922742,0.817922742,1
B2,P7,0.622233459,-0.622233459,-1
B2,P8,0.650158513,-0.650158513,-1
B2,P9,0.679433415,0.679433415,1
B2,P20,0.767375742,0.767375742,1
B2,P21,0.706308574,-0.706308574,-1
B2,P25,0.743725001,0.743725001,1
B2,P26,0.730778515,0.730778515,1
B2,P31,0.783892747,-0.783892747,-1
B2,P32,0.701034975,-0.701034975,-1
B2,P35,0.610993882,-0.610993882,-1
B2,P41,0.732648675,0.732648675,1
B2,P44,0.773514747,-0.773514747,-1
B2,P45,0.660413147,-0.660413147,-1
B2,P50,0.779603923,0.779603923,1
B2,P51,0.746041106,0.746041106,1
B2,P52,0.668857077,-0.668857077,-1
B2,P54,0.816699193,0.816699193,1
B2,P56,0.738475455,0.738475455,1
B2,P65,0.682067621,-0.682067621,-1
B2,P68,0.807135193,-0.807135193,-1
B2,P76,0.739470541,-0.739470541,-1
B2,P77,0.818884049,-0.818884049,-1
B2,P86,0.769069331,-0.769069331,-1
B2,P93,0.805774913,0.805774913,1
B2,P96,0.807969882,-0.807969882,-1
B2,P99,0.724223202,-0.724223202,-1
B2,P104,0.708973771,-0.708973771,-1
B2,P106,0.865249779,-0.865249779,-1
B2,P112,0.831043989,0.831043989,1
B2,P121,0.805750736,-0.805750736,-1
B2,P125,0.604677567,-0.604677567,-1
B2,P126,0.709441539,-0.709441539,-1
B2,P128,0.789778837,0.789778837,1
B2,P130,0.694446042,-0.694446042,-1
B2,P137,0.82749039,-0.82749039,-1
B2,P140,0.795428555,0.795428555,1
B2,P144,0.656224975,0.656224975,1
B2,P145,0.803677851,0.803677851,1
B2,P146,0.776365,0.776365,1
B2,P151,0.652294874,-0.652294874,-1
B2,P155,0.688367143,-0.688367143,-1
B2,P156,0.846179395,-0.846179395,-1
B2,P164,0.770898988,-0.770898988,-1
B2,P175,0.640790073,0.640790073,1
B2,P179,0.772514718,0.772514718,1
B2,P191,0.762846797,0.762846797,1
B2,BN6,0.722372829,-0.722372829,-1
B2,BN10,0.73400724,-0.73400724,-1
B2,OP8,0.672371823,-0.672371823,-1
B2,OP10,0.729407011,-0.729407011,-1
B3,B9,0.761035026,0.761035026,1
B3,B10,0.744398679,0.744398679,1
B3,B11,0.643997379,0.643997379,1
B3,B12,0.642843425,0.642843425,1
B3,B14,0.734175091,0.734175091,1
B3,B16,0.809565217,0.809565217,1
B3,B19,0.760872819,-0.760872819,-1
B3,B25,0.811765036,-0.811765036,-1
B3,B28,0.65228913,0.65228913,1
B3,B31,0.675658182,-0.675658182,-1
B3,B33,0.845883682,-0.845883682,-1
B3,B37,0.855153026,-0.855153026,-1
B3,B38,0.775270457,-0.775270457,-1
B3,B48,0.795698219,-0.795698219,-1
B3,B53,0.714384142,-0.714384142,-1
B3,B56,0.688489081,-0.688489081,-1
B3,B65,0.682002385,-0.682002385,-1
B3,B67,0.805419282,-0.805419282,-1
B3,B68,0.902293085,-0.902293085,-1
B3,B70,0.694324959,-0.694324959,-1
B3,B72,0.751870671,-0.751870671,-1
B3,B79,0.694498821,-0.694498821,-1
B3,B80,0.674186877,-0.674186877,-1
B3,B81,0.877300941,0.877300941,1
B3,B84,0.702272838,-0.702272838,-1
B3,B87,0.794166579,-0.794166579,-1
B3,B101,0.713355131,0.713355131,1
B3,B106,0.809885208,-0.809885208,-1
B3,B114,0.699021088,-0.699021088,-1
B3,B118,0.633709768,0.633709768,1
B3,B123,0.727995727,-0.727995727,-1
B3,B124,0.72173913,-0.72173913,-1
B3,B126,0.840789744,-0.840789744,-1
B3,B131,0.701809234,0.701809234,1
B3,B132,0.693029177,-0.693029177,-1
B3,B140,0.758833348,-0.758833348,-1
B3,B143,0.698678878,-0.698678878,-1
B3,B146,0.738885236,-0.738885236,-1
B3,B149,0.680869565,0.680869565,1
B3,B152,0.839651231,-0.839651231,-1
B3,B155,0.873963106,-0.873963106,-1
B3,B158,0.807238527,-0.807238527,-1
B3,B163,0.859376738,-0.859376738,-1
B3,B171,0.7558165,0.7558165,1
B3,B175,0.8385593,-0.8385593,-1
B3,B179,0.786929972,0.786929972,1
