id,label,genus,group
B2,,2??-21,B
B3,,3??-21,B
B9,,Acidibacter,B
B10,,Acidicaldus,B
B11,,Acidiphilium,B
B12,,Acidipila,B
B14,,Acidisphaera,B
B16,,Acidothermus,B
B18,,Acinetobacter,B
B19,,Actinoallomurus,B
B23,,Actinomadura,B
B25,,Actinophytocola,B
B26,,Actinoplanes,B
B28,,Actinospica,B
B31,,ADurb.Bin063-1,B
B33,,Aetherobacter,B
B37,,agricultural_soil_bacterium_SC-I-84,B
B38,,Agromyces,B
B43,,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,B
B45,,alphaI_cluster,B
B48,,Altererythrobacter,B
B53,,Amycolatopsis,B
B56,,Anaeromyxobacter,B
B63,,Aquicella,B
B64,,Aquisphaera,B
B65,,Archangium,B
B67,,Arenimonas,B
B68,,Aridibacter,B
B70,,Asanoa,B
B72,,Aurantisolimonas,B
B79,,Bacillus,B
B80,,bacterium_Ellin6557,B
B81,,bacterium_Ellin7507,B
B84,,Bauldia,B
B86,,Bdellovibrio,B
B87,,beta_proteobacterium_WF17,B
B97,,Bradyrhizobium,B
B99,,Brevundimonas,B
B101,,Burkholderia-Caballeronia-Paraburkholderia,B
B106,,Candidatus_Alysiosphaera,B
B114,,Candidatus_Koribacter,B
B118,,Candidatus_Nostocoida,B
B120,,Candidatus_Ovatusbacter,B
B122,,Candidatus_Paracaedibacter,B
B123,,Candidatus_Protochlamydia,B
B124,,Candidatus_Solibacter,B
B126,,Candidatus_Udaeobacter,B
B129,,Catellatospora,B
B131,,Catenulispora,B
B132,,Caulobacter,B
B140,,Chitinophaga,B
B143,,Chloroflexi_bacterium_Ellin7237,B
B146,,Chthoniobacter,B
B148,,Chthonomonas,B
B149,,Chujaibacter,B
B152,,CL500-29_marine_group,B
B155,,Clostridium_sensu_stricto_1,B
B158,,Clostridium_sensu_stricto_13,B
B163,,Clostridium_sensu_stricto_6,B
B168,,Cohnella,B
B171,,Conexibacter,B
B175,,Corallococcus,B
B179,,Crossiella,B
B181,,Cupriavidus,B
