"","Flavitalea","Filimonas","Nordella","Kaistia","Aurantisolimonas","Plectosphaerella","Coprinopsis","Melanocarpus","Ascodesmis","Fusicolla","Glomus_sp.","Polymyxa","Teretomonas","Alaimus","Aporcelaimellus"
"HN_abundance",-0.839291350566647,-0.90039008754758,-0.929271014041155,-0.931537337370296,-0.802440450944638,-0.584300994241706,-0.87760513521218,-0.522537283808327,-0.795670971307247,-0.822999637190335,-0.832218190694983,-0.681012033445546,-0.811952547608766,-0.790444451583393,-0.744905112164418
"HN_diversity",-0.858319784154177,-0.848305439257264,-0.932950047938673,-0.86125555618121,-0.810846069562076,-0.592297385077495,-0.900690687624486,-0.500666589831821,-0.85174547444386,-0.795332825139246,-0.746363194911487,-0.679001375192017,-0.851184898131699,-0.739852955400563,-0.644263056644633
"Helicotylenchus",-0.603718907459229,-0.677735301233227,-0.666780444477638,-0.704746512236698,-0.582089043425521,-0.42864945479197,-0.622164192441064,-0.396576137394841,-0.559918159001495,-0.581582097257648,-0.804554988550403,-0.549223010657606,-0.585307484645312,-0.649017335580954,-0.61685614180535
"Pratylenchus",-0.389974503929341,-0.363184818666799,-0.487956940676009,-0.468563693628401,-0.306812751404056,-0.124389658209145,-0.42678508747882,-0.066679341320489,-0.416688000889518,-0.369699492654025,-0.184492470604174,-0.183115279113025,-0.311588348113056,-0.196927809718444,-0.139142393589269
"Paratylenchus",-0.591863002255446,-0.611987460442596,-0.63542441025748,-0.629284352776806,-0.550285271154317,-0.38504904946472,-0.593870204048131,-0.345009726985335,-0.549420224804197,-0.539956693822437,-0.587614924726484,-0.546945848490598,-0.564183004271726,-0.600306914041965,-0.594130082056181
"Coslenchus",-0.737348137441719,-0.848022434488751,-0.791588495183988,-0.802094051806113,-0.778635174042069,-0.672224230675069,-0.779435163759891,-0.642063333423046,-0.63434310537652,-0.794595830395663,-0.808579074026437,-0.657062998999163,-0.799564474965661,-0.716902019735373,-0.742971723932116
"Tylenchus",-0.833157344142257,-0.864053131498149,-0.897449476683222,-0.864007190714887,-0.800471029870295,-0.588909236737158,-0.860442833732143,-0.529509837571678,-0.778840007316663,-0.793701986542629,-0.700703284773889,-0.677247878750279,-0.818614527810256,-0.763384030083955,-0.738872766523696
"Malenchus",-0.68304195097728,-0.742781365131554,-0.751104019044758,-0.747041889510623,-0.670758098907698,-0.531701627792957,-0.729177723761189,-0.462177901629713,-0.656225550202814,-0.676292679006812,-0.698184728034273,-0.53232816792934,-0.705955884953754,-0.647432118895011,-0.599360983239618
"Basiria",-0.737468686156839,-0.760193896364031,-0.791807520245817,-0.756861342290434,-0.709509239265203,-0.527071459750612,-0.761652918608579,-0.470703458338055,-0.693620592190966,-0.70268975027372,-0.584153543000039,-0.601466065468409,-0.725948308128717,-0.670695442656327,-0.647829899455436
"Boleodorus",-0.535296700957982,-0.562362244940903,-0.586943642807075,-0.610606065645866,-0.48037644123857,-0.308742528323871,-0.533999323316328,-0.271496266897694,-0.564958197090679,-0.480430746444189,-0.71519222435784,-0.571161333231519,-0.451193705019591,-0.679478513072246,-0.561354199091
"Aglenchus",-0.57654602460879,-0.611372220806557,-0.650598836587198,-0.659442752442379,-0.531887489725758,-0.358290564455633,-0.60426354015226,-0.30766352379842,-0.578868340635789,-0.559906198809003,-0.562209055890782,-0.44248339121245,-0.514707347001677,-0.545301360226715,-0.476699073395759
"Rotylenchus",-0.506334085050973,-0.505598016301629,-0.51765183514552,-0.472671502868747,-0.487483793514489,-0.353704705592344,-0.511800368282884,-0.318164720528782,-0.468318647160171,-0.470373604344565,-0.197221260189002,-0.322110175003183,-0.466419548945571,-0.425095040389705,-0.442677663802382
"Macroposthonia",-0.379203626436871,-0.338220011540638,-0.404510668865678,-0.355560442112349,-0.332658651338628,-0.202736351423096,-0.381576883468781,-0.15727187789544,-0.374868760771045,-0.314568328492213,-0.467341916342655,-0.249781756934653,-0.327968064446828,-0.269762973159992,-0.240448109779743
"Nagelus",-0.55997496367772,-0.653674871460197,-0.644436685077878,-0.702272570806001,-0.543989728635615,-0.41966591332669,-0.598070655423506,-0.378501627191814,-0.579964350224418,-0.56326845179402,-0.778290170663864,-0.609926087225806,-0.566922287185638,-0.719990850854836,-0.586802883524864
"Hirschmanniella",-0.416999054879881,-0.36892651929209,-0.45274215905361,-0.403740353772941,-0.352303388592814,-0.184819855176782,-0.416045152836225,-0.146239474483992,-0.415069034534367,-0.327748072249328,-0.294710544516225,-0.309045549106697,-0.362094413416363,-0.328286902311141,-0.29015056572508
